 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\8He_Si.txt

 Ion = Helium [2] , Mass = 8.0339 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.630E-01  8.324E-02    1115 A       607 A       484 A   
  11.00 keV   1.710E-01  7.987E-02    1230 A       652 A       524 A   
  12.00 keV   1.786E-01  7.681E-02    1345 A       695 A       563 A   
  13.00 keV   1.859E-01  7.401E-02    1460 A       736 A       602 A   
  14.00 keV   1.929E-01  7.144E-02    1575 A       775 A       639 A   
  15.00 keV   1.997E-01  6.908E-02    1689 A       813 A       675 A   
  16.00 keV   2.062E-01  6.689E-02    1802 A       850 A       710 A   
  17.00 keV   2.127E-01  6.486E-02    1915 A       885 A       745 A   
  18.00 keV   2.189E-01  6.297E-02    2028 A       919 A       779 A   
  20.00 keV   2.306E-01  5.956E-02    2251 A       983 A       844 A   
  22.50 keV   2.443E-01  5.585E-02    2527 A      1058 A       922 A   
  25.00 keV   2.573E-01  5.265E-02    2799 A      1127 A       996 A   
  27.50 keV   2.699E-01  4.984E-02    3066 A      1191 A      1066 A   
  30.00 keV   2.826E-01  4.736E-02    3330 A      1251 A      1132 A   
  32.50 keV   2.952E-01  4.516E-02    3588 A      1306 A      1196 A   
  35.00 keV   3.080E-01  4.318E-02    3841 A      1358 A      1256 A   
  37.50 keV   3.208E-01  4.139E-02    4090 A      1406 A      1313 A   
  40.00 keV   3.336E-01  3.976E-02    4333 A      1451 A      1367 A   
  45.00 keV   3.588E-01  3.691E-02    4804 A      1532 A      1469 A   
