 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\C8_Si.txt

 Ion = Carbon [6] , Mass = 8.0376 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   4.492E+00  5.259E-03    6.63 um     2653 A      3042 A   
   8.00 MeV   4.374E+00  4.698E-03    7.60 um     3031 A      3225 A   
   9.00 MeV   4.261E+00  4.251E-03    8.60 um     3384 A      3407 A   
  10.00 MeV   4.154E+00  3.886E-03    9.62 um     3720 A      3589 A   
  11.00 MeV   4.051E+00  3.582E-03   10.67 um     4043 A      3773 A   
  12.00 MeV   3.952E+00  3.325E-03   11.74 um     4357 A      3957 A   
  13.00 MeV   3.857E+00  3.105E-03   12.84 um     4664 A      4144 A   
  14.00 MeV   3.766E+00  2.913E-03   13.97 um     4966 A      4332 A   
  15.00 MeV   3.678E+00  2.745E-03   15.13 um     5264 A      4522 A   
  16.00 MeV   3.594E+00  2.597E-03   16.31 um     5560 A      4714 A   
  17.00 MeV   3.513E+00  2.464E-03   17.52 um     5854 A      4908 A   
  18.00 MeV   3.424E+00  2.346E-03   18.76 um     6148 A      5106 A   
  20.00 MeV   3.241E+00  2.141E-03   21.35 um     7219 A      5511 A   
  22.50 MeV   3.054E+00  1.933E-03   24.77 um     8768 A      6040 A   
  25.00 MeV   2.885E+00  1.764E-03   28.39 um     1.02 um     6592 A   
  27.50 MeV   2.731E+00  1.623E-03   32.22 um     1.17 um     7169 A   
  30.00 MeV   2.592E+00  1.505E-03   36.27 um     1.31 um     7773 A   
  32.50 MeV   2.465E+00  1.403E-03   40.53 um     1.45 um     8404 A   
  35.00 MeV   2.349E+00  1.315E-03   45.00 um     1.59 um     9062 A   
  37.50 MeV   2.242E+00  1.238E-03   49.69 um     1.73 um     9748 A   
  40.00 MeV   2.145E+00  1.169E-03   54.59 um     1.87 um     1.05 um  
  45.00 MeV   1.972E+00  1.054E-03   65.06 um     2.40 um     1.20 um  
  50.00 MeV   1.824E+00  9.610E-04   76.41 um     2.91 um     1.36 um  
  55.00 MeV   1.697E+00  8.835E-04   88.65 um     3.40 um     1.54 um  
  60.00 MeV   1.587E+00  8.181E-04  101.77 um     3.89 um     1.72 um  
  65.00 MeV   1.490E+00  7.622E-04  115.77 um     4.38 um     1.92 um  
  70.00 MeV   1.405E+00  7.138E-04  130.65 um     4.88 um     2.13 um  
  80.00 MeV   1.262E+00  6.341E-04  163.00 um     6.73 um     2.59 um  
  90.00 MeV   1.147E+00  5.711E-04  198.79 um     8.46 um     3.10 um  
 100.00 MeV   1.053E+00  5.199E-04  237.96 um    10.15 um     3.65 um  
 110.00 MeV   9.754E-01  4.776E-04  280.44 um    11.84 um     4.24 um  
 120.00 MeV   9.094E-01  4.419E-04  326.16 um    13.54 um     4.88 um  
 130.00 MeV   8.530E-01  4.114E-04  375.05 um    15.26 um     5.56 um  
 140.00 MeV   8.041E-01  3.850E-04  427.05 um    16.99 um     6.29 um  
 150.00 MeV   7.612E-01  3.620E-04  482.08 um    18.75 um     7.05 um  
 160.00 MeV   7.234E-01  3.416E-04  540.11 um    20.53 um     7.86 um  
 170.00 MeV   6.896E-01  3.236E-04  601.07 um    22.34 um     8.70 um  
 180.00 MeV   6.593E-01  3.074E-04  664.92 um    24.16 um     9.58 um  
 200.00 MeV   6.069E-01  2.796E-04  801.08 um    31.03 um    11.45 um  
 225.00 MeV   5.532E-01  2.515E-04  986.88 um    40.83 um    14.00 um  
 250.00 MeV   5.089E-01  2.288E-04    1.19 mm    50.09 um    16.76 um  
 275.00 MeV   4.718E-01  2.099E-04    1.41 mm    59.13 um    19.74 um  
 300.00 MeV   4.403E-01  1.941E-04    1.65 mm    68.12 um    22.92 um  
 325.00 MeV   4.133E-01  1.806E-04    1.90 mm    77.12 um    26.32 um  
 350.00 MeV   3.898E-01  1.689E-04    2.17 mm    86.18 um    29.91 um  
 375.00 MeV   3.692E-01  1.587E-04    2.45 mm    95.32 um    33.69 um  
 400.00 MeV   3.509E-01  1.497E-04    2.75 mm   104.55 um    37.66 um  
 450.00 MeV   3.201E-01  1.345E-04    3.39 mm   139.04 um    46.17 um  
 500.00 MeV   2.949E-01  1.222E-04    4.09 mm   171.29 um    55.40 um  
 550.00 MeV   2.740E-01  1.121E-04    4.85 mm   202.60 um    65.31 um  
