 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\9Li_Si.txt

 Ion = Lithium [3] , Mass = 9.0268 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.391E-01  1.573E-01     699 A       397 A       306 A   
  11.00 keV   2.508E-01  1.522E-01     769 A       426 A       331 A   
  12.00 keV   2.619E-01  1.475E-01     839 A       455 A       356 A   
  13.00 keV   2.726E-01  1.431E-01     908 A       482 A       379 A   
  14.00 keV   2.829E-01  1.390E-01     978 A       508 A       403 A   
  15.00 keV   2.928E-01  1.351E-01    1048 A       534 A       425 A   
  16.00 keV   3.024E-01  1.315E-01    1117 A       559 A       448 A   
  17.00 keV   3.117E-01  1.281E-01    1186 A       583 A       470 A   
  18.00 keV   3.208E-01  1.249E-01    1255 A       606 A       491 A   
  20.00 keV   3.391E-01  1.191E-01    1393 A       650 A       533 A   
  22.50 keV   3.605E-01  1.126E-01    1562 A       702 A       584 A   
  25.00 keV   3.803E-01  1.070E-01    1730 A       751 A       632 A   
  27.50 keV   3.985E-01  1.019E-01    1895 A       796 A       678 A   
  30.00 keV   4.150E-01  9.739E-02    2059 A       839 A       722 A   
  32.50 keV   4.301E-01  9.332E-02    2222 A       879 A       764 A   
  35.00 keV   4.438E-01  8.963E-02    2383 A       918 A       805 A   
  37.50 keV   4.565E-01  8.626E-02    2543 A       954 A       845 A   
  40.00 keV   4.686E-01  8.318E-02    2701 A       989 A       883 A   
  45.00 keV   4.926E-01  7.773E-02    3015 A      1055 A       956 A   
