 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\B10_Si.txt

 Ion = Boron [5] , Mass = 10.0129 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.102E-01  3.173E-01     399 A       235 A       178 A   
  11.00 keV   4.302E-01  3.104E-01     436 A       252 A       191 A   
  12.00 keV   4.493E-01  3.038E-01     473 A       268 A       204 A   
  13.00 keV   4.676E-01  2.975E-01     510 A       284 A       217 A   
  14.00 keV   4.853E-01  2.914E-01     547 A       299 A       229 A   
  15.00 keV   5.023E-01  2.856E-01     584 A       314 A       242 A   
  16.00 keV   5.188E-01  2.800E-01     621 A       328 A       254 A   
  17.00 keV   5.348E-01  2.746E-01     657 A       342 A       266 A   
  18.00 keV   5.503E-01  2.694E-01     694 A       356 A       277 A   
  20.00 keV   5.800E-01  2.598E-01     767 A       382 A       300 A   
  22.50 keV   6.394E-01  2.487E-01     855 A       412 A       328 A   
  25.00 keV   6.952E-01  2.387E-01     941 A       439 A       354 A   
  27.50 keV   7.458E-01  2.296E-01    1024 A       464 A       378 A   
  30.00 keV   7.910E-01  2.213E-01    1105 A       487 A       401 A   
  32.50 keV   8.314E-01  2.137E-01    1185 A       509 A       423 A   
  35.00 keV   8.676E-01  2.066E-01    1263 A       530 A       444 A   
  37.50 keV   9.003E-01  2.001E-01    1340 A       549 A       464 A   
  40.00 keV   9.302E-01  1.940E-01    1416 A       568 A       483 A   
  45.00 keV   9.828E-01  1.831E-01    1566 A       602 A       520 A   
  50.00 keV   1.028E+00  1.736E-01    1714 A       634 A       554 A   
