 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\N17_Si.txt

 Ion = Nitrogen [7] , Mass = 17.0085 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.036E-01  6.728E-01     295 A       160 A       116 A   
  11.00 keV   4.233E-01  6.651E-01     321 A       172 A       125 A   
  12.00 keV   4.421E-01  6.571E-01     348 A       184 A       133 A   
  13.00 keV   4.601E-01  6.490E-01     375 A       195 A       142 A   
  14.00 keV   4.775E-01  6.409E-01     401 A       206 A       150 A   
  15.00 keV   4.943E-01  6.328E-01     428 A       217 A       158 A   
  16.00 keV   5.105E-01  6.248E-01     454 A       228 A       167 A   
  17.00 keV   5.262E-01  6.168E-01     481 A       239 A       175 A   
  18.00 keV   5.414E-01  6.090E-01     508 A       249 A       183 A   
  20.00 keV   5.707E-01  5.939E-01     561 A       270 A       199 A   
  22.50 keV   6.053E-01  5.759E-01     627 A       294 A       218 A   
  25.00 keV   6.381E-01  5.589E-01     694 A       318 A       237 A   
  27.50 keV   6.692E-01  5.429E-01     760 A       341 A       256 A   
  30.00 keV   6.990E-01  5.279E-01     827 A       363 A       274 A   
  32.50 keV   7.275E-01  5.138E-01     893 A       385 A       292 A   
  35.00 keV   7.652E-01  5.005E-01     958 A       406 A       310 A   
  37.50 keV   8.155E-01  4.880E-01    1023 A       425 A       327 A   
  40.00 keV   8.612E-01  4.761E-01    1086 A       444 A       344 A   
  45.00 keV   9.397E-01  4.544E-01    1210 A       478 A       377 A   
  50.00 keV   1.003E+00  4.348E-01    1331 A       510 A       408 A   
