 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\F22_Si.txt

 Ion = Fluorine [9] , Mass = 22.003 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.258E-01  1.009E+00     247 A       131 A        94 A   
  11.00 keV   3.417E-01  1.005E+00     269 A       141 A       100 A   
  12.00 keV   3.569E-01  9.990E-01     291 A       150 A       107 A   
  13.00 keV   3.715E-01  9.925E-01     313 A       160 A       114 A   
  14.00 keV   3.855E-01  9.855E-01     335 A       169 A       121 A   
  15.00 keV   3.990E-01  9.781E-01     356 A       179 A       127 A   
  16.00 keV   4.121E-01  9.705E-01     378 A       188 A       134 A   
  17.00 keV   4.248E-01  9.626E-01     400 A       197 A       140 A   
  18.00 keV   4.371E-01  9.546E-01     422 A       206 A       147 A   
  20.00 keV   4.607E-01  9.385E-01     467 A       224 A       160 A   
  22.50 keV   4.887E-01  9.184E-01     522 A       246 A       176 A   
  25.00 keV   5.151E-01  8.986E-01     578 A       268 A       191 A   
  27.50 keV   5.403E-01  8.794E-01     634 A       289 A       207 A   
  30.00 keV   5.643E-01  8.608E-01     690 A       310 A       222 A   
  32.50 keV   5.873E-01  8.429E-01     747 A       331 A       238 A   
  35.00 keV   6.095E-01  8.258E-01     804 A       351 A       253 A   
  37.50 keV   6.309E-01  8.093E-01     860 A       370 A       268 A   
  40.00 keV   6.516E-01  7.935E-01     918 A       390 A       283 A   
  45.00 keV   7.164E-01  7.638E-01    1031 A       427 A       313 A   
  50.00 keV   8.470E-01  7.365E-01    1140 A       460 A       343 A   
