 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\C9_Si.txt

 Ion = Carbon [6] , Mass = 9.031 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.758E-01  3.583E-01     339 A       211 A       160 A   
  11.00 keV   4.991E-01  3.518E-01     370 A       226 A       172 A   
  12.00 keV   5.213E-01  3.454E-01     401 A       241 A       183 A   
  13.00 keV   5.425E-01  3.391E-01     432 A       254 A       195 A   
  14.00 keV   5.630E-01  3.330E-01     463 A       268 A       206 A   
  15.00 keV   5.828E-01  3.272E-01     493 A       281 A       216 A   
  16.00 keV   6.019E-01  3.215E-01     524 A       294 A       227 A   
  17.00 keV   6.204E-01  3.160E-01     555 A       306 A       237 A   
  18.00 keV   6.384E-01  3.107E-01     585 A       318 A       248 A   
  20.00 keV   7.073E-01  3.006E-01     644 A       341 A       268 A   
  22.50 keV   7.778E-01  2.890E-01     716 A       366 A       291 A   
  25.00 keV   8.333E-01  2.783E-01     785 A       390 A       313 A   
  27.50 keV   8.779E-01  2.686E-01     853 A       412 A       334 A   
  30.00 keV   9.149E-01  2.595E-01     920 A       433 A       354 A   
  32.50 keV   9.468E-01  2.512E-01     988 A       453 A       373 A   
  35.00 keV   9.753E-01  2.435E-01    1054 A       472 A       391 A   
  37.50 keV   1.001E+00  2.363E-01    1121 A       490 A       409 A   
  40.00 keV   1.026E+00  2.296E-01    1187 A       508 A       426 A   
  45.00 keV   1.070E+00  2.174E-01    1319 A       542 A       459 A   
  50.00 keV   1.111E+00  2.067E-01    1450 A       573 A       491 A   
