 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\12O_Si.txt

 Ion = Oxygen [8] , Mass = 12.0344 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.841E-01  6.049E-01     268 A       164 A       122 A   
  11.00 keV   5.078E-01  5.983E-01     292 A       176 A       131 A   
  12.00 keV   5.303E-01  5.914E-01     316 A       188 A       139 A   
  13.00 keV   5.520E-01  5.844E-01     340 A       199 A       148 A   
  14.00 keV   5.728E-01  5.774E-01     364 A       210 A       156 A   
  15.00 keV   5.929E-01  5.703E-01     387 A       221 A       165 A   
  16.00 keV   6.124E-01  5.633E-01     411 A       232 A       173 A   
  17.00 keV   6.312E-01  5.564E-01     435 A       242 A       181 A   
  18.00 keV   6.495E-01  5.495E-01     459 A       253 A       189 A   
  20.00 keV   6.847E-01  5.362E-01     506 A       272 A       205 A   
  22.50 keV   7.262E-01  5.203E-01     565 A       296 A       224 A   
  25.00 keV   7.758E-01  5.053E-01     624 A       319 A       243 A   
  27.50 keV   8.346E-01  4.912E-01     682 A       341 A       262 A   
  30.00 keV   8.838E-01  4.778E-01     739 A       361 A       279 A   
  32.50 keV   9.253E-01  4.653E-01     795 A       380 A       297 A   
  35.00 keV   9.609E-01  4.534E-01     850 A       399 A       313 A   
  37.50 keV   9.920E-01  4.423E-01     906 A       417 A       329 A   
  40.00 keV   1.020E+00  4.317E-01     961 A       434 A       345 A   
  45.00 keV   1.069E+00  4.123E-01    1072 A       468 A       376 A   
  50.00 keV   1.114E+00  3.947E-01    1182 A       500 A       405 A   
