 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\B9_Si.txt

 Ion = Boron [5] , Mass = 9.0133 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.323E-01  2.916E-01     397 A       239 A       182 A   
  11.00 keV   4.534E-01  2.851E-01     434 A       255 A       195 A   
  12.00 keV   4.736E-01  2.790E-01     471 A       271 A       209 A   
  13.00 keV   4.929E-01  2.730E-01     507 A       287 A       221 A   
  14.00 keV   5.115E-01  2.673E-01     544 A       302 A       234 A   
  15.00 keV   5.295E-01  2.619E-01     580 A       317 A       246 A   
  16.00 keV   5.468E-01  2.566E-01     616 A       331 A       258 A   
  17.00 keV   5.637E-01  2.516E-01     653 A       345 A       270 A   
  18.00 keV   5.800E-01  2.468E-01     688 A       358 A       282 A   
  20.00 keV   6.328E-01  2.379E-01     759 A       383 A       304 A   
  22.50 keV   6.951E-01  2.276E-01     844 A       411 A       331 A   
  25.00 keV   7.510E-01  2.184E-01     926 A       437 A       356 A   
  27.50 keV   8.003E-01  2.099E-01    1006 A       461 A       380 A   
  30.00 keV   8.438E-01  2.022E-01    1084 A       483 A       402 A   
  32.50 keV   8.824E-01  1.952E-01    1161 A       504 A       423 A   
  35.00 keV   9.172E-01  1.887E-01    1237 A       523 A       443 A   
  37.50 keV   9.487E-01  1.827E-01    1312 A       542 A       462 A   
  40.00 keV   9.773E-01  1.771E-01    1386 A       560 A       480 A   
  45.00 keV   1.027E+00  1.671E-01    1533 A       593 A       515 A   
  50.00 keV   1.070E+00  1.583E-01    1677 A       623 A       548 A   
