 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\19O_Si.txt

 Ion = Oxygen [8] , Mass = 19.0036 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.853E-01  8.256E-01     267 A       144 A       104 A   
  11.00 keV   4.041E-01  8.190E-01     290 A       154 A       111 A   
  12.00 keV   4.220E-01  8.118E-01     314 A       165 A       119 A   
  13.00 keV   4.393E-01  8.042E-01     338 A       175 A       126 A   
  14.00 keV   4.558E-01  7.964E-01     362 A       186 A       134 A   
  15.00 keV   4.718E-01  7.884E-01     385 A       196 A       141 A   
  16.00 keV   4.873E-01  7.803E-01     409 A       206 A       148 A   
  17.00 keV   5.023E-01  7.722E-01     433 A       215 A       155 A   
  18.00 keV   5.169E-01  7.641E-01     457 A       225 A       163 A   
  20.00 keV   5.448E-01  7.482E-01     505 A       244 A       177 A   
  22.50 keV   5.779E-01  7.288E-01     565 A       267 A       194 A   
  25.00 keV   6.091E-01  7.102E-01     624 A       289 A       211 A   
  27.50 keV   6.389E-01  6.924E-01     684 A       311 A       228 A   
  30.00 keV   6.673E-01  6.755E-01     745 A       332 A       245 A   
  32.50 keV   6.945E-01  6.594E-01     805 A       353 A       261 A   
  35.00 keV   7.207E-01  6.441E-01     865 A       373 A       277 A   
  37.50 keV   7.460E-01  6.296E-01     925 A       393 A       293 A   
  40.00 keV   7.842E-01  6.158E-01     984 A       412 A       309 A   
  45.00 keV   8.552E-01  5.902E-01    1102 A       447 A       340 A   
  50.00 keV   9.121E-01  5.669E-01    1218 A       480 A       371 A   
