 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\24Ne_Si.txt

 Ion = Neon [10] , Mass = 23.9936 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.870E-01  1.168E+00     231 A       121 A        86 A   
  11.00 keV   3.010E-01  1.165E+00     251 A       130 A        93 A   
  12.00 keV   3.143E-01  1.161E+00     271 A       139 A        99 A   
  13.00 keV   3.272E-01  1.157E+00     291 A       148 A       105 A   
  14.00 keV   3.395E-01  1.151E+00     311 A       157 A       111 A   
  15.00 keV   3.514E-01  1.145E+00     331 A       166 A       117 A   
  16.00 keV   3.630E-01  1.138E+00     352 A       174 A       123 A   
  17.00 keV   3.741E-01  1.131E+00     372 A       183 A       129 A   
  18.00 keV   3.850E-01  1.123E+00     392 A       191 A       135 A   
  20.00 keV   4.058E-01  1.108E+00     433 A       208 A       147 A   
  22.50 keV   4.304E-01  1.088E+00     484 A       229 A       162 A   
  25.00 keV   4.537E-01  1.068E+00     536 A       250 A       176 A   
  27.50 keV   4.759E-01  1.048E+00     588 A       270 A       191 A   
  30.00 keV   4.970E-01  1.029E+00     640 A       290 A       205 A   
  32.50 keV   5.173E-01  1.010E+00     693 A       310 A       219 A   
  35.00 keV   5.368E-01  9.920E-01     746 A       329 A       233 A   
  37.50 keV   5.557E-01  9.743E-01     799 A       348 A       248 A   
  40.00 keV   5.739E-01  9.572E-01     853 A       367 A       262 A   
  45.00 keV   6.087E-01  9.248E-01     960 A       405 A       290 A   
  50.00 keV   6.757E-01  8.946E-01    1068 A       440 A       318 A   
