 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\F20_Si.txt

 Ion = Fluorine [9] , Mass = 19.99998 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.417E-01  9.540E-01     248 A       135 A        97 A   
  11.00 keV   3.584E-01  9.489E-01     270 A       146 A       104 A   
  12.00 keV   3.743E-01  9.429E-01     292 A       156 A       111 A   
  13.00 keV   3.896E-01  9.362E-01     314 A       166 A       118 A   
  14.00 keV   4.043E-01  9.291E-01     336 A       176 A       125 A   
  15.00 keV   4.185E-01  9.216E-01     358 A       185 A       132 A   
  16.00 keV   4.322E-01  9.139E-01     380 A       195 A       139 A   
  17.00 keV   4.455E-01  9.061E-01     402 A       204 A       146 A   
  18.00 keV   4.585E-01  8.982E-01     425 A       214 A       153 A   
  20.00 keV   4.833E-01  8.822E-01     469 A       232 A       166 A   
  22.50 keV   5.126E-01  8.625E-01     525 A       255 A       183 A   
  25.00 keV   5.403E-01  8.432E-01     581 A       277 A       199 A   
  27.50 keV   5.667E-01  8.245E-01     638 A       299 A       215 A   
  30.00 keV   5.919E-01  8.065E-01     694 A       320 A       231 A   
  32.50 keV   6.160E-01  7.892E-01     751 A       341 A       247 A   
  35.00 keV   6.393E-01  7.727E-01     808 A       361 A       263 A   
  37.50 keV   6.617E-01  7.568E-01     865 A       382 A       279 A   
  40.00 keV   6.834E-01  7.417E-01     923 A       401 A       294 A   
  45.00 keV   8.364E-01  7.132E-01    1033 A       436 A       325 A   
  50.00 keV   9.325E-01  6.872E-01    1137 A       468 A       355 A   
