 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\N18_Si.txt

 Ion = Nitrogen [7] , Mass = 18.014 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.921E-01  6.987E-01     294 A       157 A       114 A   
  11.00 keV   4.113E-01  6.910E-01     321 A       169 A       122 A   
  12.00 keV   4.296E-01  6.830E-01     347 A       180 A       131 A   
  13.00 keV   4.471E-01  6.748E-01     374 A       192 A       139 A   
  14.00 keV   4.640E-01  6.666E-01     401 A       203 A       147 A   
  15.00 keV   4.803E-01  6.583E-01     427 A       214 A       155 A   
  16.00 keV   4.960E-01  6.502E-01     454 A       224 A       163 A   
  17.00 keV   5.113E-01  6.421E-01     480 A       235 A       171 A   
  18.00 keV   5.261E-01  6.341E-01     507 A       245 A       179 A   
  20.00 keV   5.546E-01  6.187E-01     560 A       266 A       195 A   
  22.50 keV   5.882E-01  6.002E-01     627 A       290 A       214 A   
  25.00 keV   6.200E-01  5.828E-01     694 A       314 A       233 A   
  27.50 keV   6.503E-01  5.664E-01     760 A       337 A       251 A   
  30.00 keV   6.792E-01  5.509E-01     827 A       359 A       269 A   
  32.50 keV   7.069E-01  5.364E-01     893 A       381 A       287 A   
  35.00 keV   7.336E-01  5.226E-01     959 A       402 A       304 A   
  37.50 keV   7.737E-01  5.097E-01    1025 A       422 A       322 A   
  40.00 keV   8.206E-01  4.975E-01    1089 A       440 A       339 A   
  45.00 keV   9.023E-01  4.750E-01    1215 A       476 A       372 A   
  50.00 keV   9.694E-01  4.547E-01    1338 A       508 A       403 A   
