 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Na22_Si.txt

 Ion = Sodium [11] , Mass = 21.991 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   1.001E+01  4.083E-02    4.60 um     3008 A      3859 A   
   8.00 MeV   1.015E+01  3.661E-02    5.02 um     3094 A      3943 A   
   9.00 MeV   1.024E+01  3.324E-02    5.44 um     3174 A      4020 A   
  10.00 MeV   1.030E+01  3.047E-02    5.86 um     3251 A      4092 A   
  11.00 MeV   1.033E+01  2.816E-02    6.28 um     3324 A      4159 A   
  12.00 MeV   1.034E+01  2.619E-02    6.69 um     3394 A      4222 A   
  13.00 MeV   1.034E+01  2.450E-02    7.10 um     3463 A      4283 A   
  14.00 MeV   1.034E+01  2.303E-02    7.52 um     3530 A      4342 A   
  15.00 MeV   1.032E+01  2.174E-02    7.94 um     3595 A      4399 A   
  16.00 MeV   1.030E+01  2.059E-02    8.35 um     3659 A      4454 A   
  17.00 MeV   1.027E+01  1.957E-02    8.77 um     3722 A      4507 A   
  18.00 MeV   1.024E+01  1.865E-02    9.19 um     3783 A      4560 A   
  20.00 MeV   1.017E+01  1.706E-02   10.03 um     3994 A      4662 A   
  22.50 MeV   1.007E+01  1.544E-02   11.09 um     4299 A      4785 A   
  25.00 MeV   9.956E+00  1.412E-02   12.16 um     4589 A      4905 A   
  27.50 MeV   9.839E+00  1.302E-02   13.25 um     4867 A      5023 A   
  30.00 MeV   9.718E+00  1.209E-02   14.35 um     5136 A      5139 A   
  32.50 MeV   9.595E+00  1.129E-02   15.46 um     5397 A      5253 A   
  35.00 MeV   9.470E+00  1.059E-02   16.59 um     5653 A      5366 A   
  37.50 MeV   9.345E+00  9.984E-03   17.73 um     5904 A      5479 A   
  40.00 MeV   9.220E+00  9.445E-03   18.89 um     6150 A      5592 A   
  45.00 MeV   8.977E+00  8.533E-03   21.26 um     7043 A      5818 A   
  50.00 MeV   8.693E+00  7.790E-03   23.69 um     7880 A      6045 A   
  55.00 MeV   8.377E+00  7.173E-03   26.21 um     8688 A      6277 A   
  60.00 MeV   8.116E+00  6.652E-03   28.82 um     9477 A      6513 A   
  65.00 MeV   7.867E+00  6.205E-03   31.52 um     1.03 um     6754 A   
  70.00 MeV   7.631E+00  5.817E-03   34.29 um     1.10 um     7001 A   
  80.00 MeV   7.194E+00  5.177E-03   40.10 um     1.38 um     7512 A   
  90.00 MeV   6.799E+00  4.671E-03   46.26 um     1.64 um     8050 A   
 100.00 MeV   6.443E+00  4.259E-03   52.77 um     1.89 um     8614 A   
 110.00 MeV   6.122E+00  3.917E-03   59.62 um     2.13 um     9207 A   
 120.00 MeV   5.830E+00  3.629E-03   66.83 um     2.36 um     9828 A   
 130.00 MeV   5.565E+00  3.382E-03   74.39 um     2.60 um     1.05 um  
 140.00 MeV   5.323E+00  3.168E-03   82.30 um     2.84 um     1.12 um  
 150.00 MeV   5.103E+00  2.981E-03   90.56 um     3.08 um     1.19 um  
 160.00 MeV   4.901E+00  2.816E-03   99.17 um     3.31 um     1.26 um  
 170.00 MeV   4.715E+00  2.669E-03  108.13 um     3.56 um     1.34 um  
 180.00 MeV   4.543E+00  2.537E-03  117.43 um     3.80 um     1.42 um  
 200.00 MeV   4.239E+00  2.311E-03  137.06 um     4.72 um     1.58 um  
 225.00 MeV   3.916E+00  2.082E-03  163.49 um     6.04 um     1.81 um  
 250.00 MeV   3.644E+00  1.895E-03  192.00 um     7.28 um     2.05 um  
 275.00 MeV   3.412E+00  1.741E-03  222.54 um     8.48 um     2.31 um  
 300.00 MeV   3.211E+00  1.611E-03  255.07 um     9.66 um     2.58 um  
 325.00 MeV   3.036E+00  1.500E-03  289.55 um    10.84 um     2.87 um  
 350.00 MeV   2.882E+00  1.404E-03  325.96 um    12.02 um     3.17 um  
 375.00 MeV   2.745E+00  1.320E-03  364.24 um    13.21 um     3.49 um  
 400.00 MeV   2.622E+00  1.246E-03  404.38 um    14.40 um     3.82 um  
 450.00 MeV   2.410E+00  1.121E-03  490.07 um    18.86 um     4.53 um  
 500.00 MeV   2.234E+00  1.020E-03  582.90 um    23.02 um     5.28 um  
 550.00 MeV   2.084E+00  9.364E-04  682.73 um    27.05 um     6.09 um  
 600.00 MeV   1.954E+00  8.660E-04  789.47 um    31.02 um     6.95 um  
 650.00 MeV   1.840E+00  8.058E-04  903.06 um    34.98 um     7.86 um  
 700.00 MeV   1.737E+00  7.537E-04    1.02 mm    38.96 um     8.82 um  
 800.00 MeV   1.565E+00  6.682E-04    1.28 mm    53.80 um    10.89 um  
 900.00 MeV   1.427E+00  6.008E-04    1.57 mm    67.62 um    13.15 um  
   1.00 GeV   1.314E+00  5.462E-04    1.89 mm    81.05 um    15.60 um  
   1.10 GeV   1.220E+00  5.011E-04    2.23 mm    94.38 um    18.24 um  
   1.20 GeV   1.140E+00  4.631E-04    2.59 mm   107.72 um    21.05 um  
   1.30 GeV   1.072E+00  4.307E-04    2.98 mm   121.14 um    24.04 um  
   1.40 GeV   1.012E+00  4.027E-04    3.40 mm   134.66 um    27.20 um  
   1.50 GeV   9.600E-01  3.782E-04    3.83 mm   148.32 um    30.53 um  
   1.60 GeV   9.139E-01  3.567E-04    4.29 mm   162.12 um    34.01 um  
   1.70 GeV   8.728E-01  3.376E-04    4.78 mm   176.06 um    37.65 um  
   1.80 GeV   8.359E-01  3.205E-04    5.28 mm   190.14 um    41.44 um  
   2.00 GeV   7.725E-01  2.912E-04    6.35 mm   243.56 um    49.48 um  
   2.25 GeV   7.081E-01  2.615E-04    7.81 mm   319.41 um    60.31 um  
   2.50 GeV   6.558E-01  2.376E-04    9.39 mm   390.31 um    71.97 um  
   2.75 GeV   6.125E-01  2.178E-04   11.09 mm   458.84 um    84.42 um  
   3.00 GeV   5.761E-01  2.011E-04   12.90 mm   526.13 um    97.60 um  
   3.25 GeV   5.449E-01  1.870E-04   14.82 mm   592.74 um   111.48 um  
   3.50 GeV   5.180E-01  1.747E-04   16.85 mm   658.98 um   126.02 um  
   3.75 GeV   4.946E-01  1.640E-04   18.98 mm   725.02 um   141.18 um  
   4.00 GeV   4.739E-01  1.546E-04   21.20 mm   790.96 um   156.92 um  
   4.50 GeV   4.392E-01  1.388E-04   25.92 mm     1.04 mm   190.07 um  
   5.00 GeV   4.113E-01  1.260E-04   30.99 mm     1.26 mm   225.22 um  
   5.50 GeV   3.883E-01  1.154E-04   36.38 mm     1.48 mm   262.16 um  
   6.00 GeV   3.690E-01  1.066E-04   42.07 mm     1.68 mm   300.71 um  
   6.50 GeV   3.527E-01  9.902E-05   48.04 mm     1.88 mm   340.70 um  
   7.00 GeV   3.387E-01  9.250E-05   54.28 mm     2.08 mm   381.99 um  
   8.00 GeV   3.159E-01  8.180E-05   67.45 mm     2.80 mm   467.94 um  
   9.00 GeV   2.983E-01  7.340E-05   81.48 mm     3.43 mm   557.64 um  
  10.00 GeV   2.843E-01  6.660E-05   96.28 mm     4.02 mm   650.31 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  2.6727E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
