 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\17O_Si.txt

 Ion = Oxygen [8] , Mass = 16.9991 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.073E-01  7.687E-01     267 A       149 A       108 A   
  11.00 keV   4.272E-01  7.620E-01     291 A       160 A       116 A   
  12.00 keV   4.462E-01  7.547E-01     315 A       171 A       124 A   
  13.00 keV   4.644E-01  7.472E-01     339 A       182 A       132 A   
  14.00 keV   4.820E-01  7.394E-01     363 A       192 A       139 A   
  15.00 keV   4.989E-01  7.315E-01     387 A       203 A       147 A   
  16.00 keV   5.152E-01  7.236E-01     411 A       213 A       155 A   
  17.00 keV   5.311E-01  7.158E-01     435 A       223 A       162 A   
  18.00 keV   5.465E-01  7.079E-01     458 A       233 A       169 A   
  20.00 keV   5.761E-01  6.925E-01     506 A       252 A       184 A   
  22.50 keV   6.110E-01  6.738E-01     566 A       275 A       202 A   
  25.00 keV   6.441E-01  6.560E-01     626 A       298 A       220 A   
  27.50 keV   6.755E-01  6.391E-01     686 A       320 A       237 A   
  30.00 keV   7.055E-01  6.230E-01     746 A       342 A       254 A   
  32.50 keV   7.343E-01  6.078E-01     806 A       362 A       271 A   
  35.00 keV   7.701E-01  5.933E-01     866 A       382 A       288 A   
  37.50 keV   8.135E-01  5.796E-01     925 A       402 A       304 A   
  40.00 keV   8.516E-01  5.666E-01     983 A       420 A       320 A   
  45.00 keV   9.152E-01  5.424E-01    1098 A       455 A       352 A   
  50.00 keV   9.661E-01  5.206E-01    1212 A       488 A       382 A   
