 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\18O_Si.txt

 Ion = Oxygen [8] , Mass = 17.9991 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.959E-01  7.977E-01     267 A       146 A       106 A   
  11.00 keV   4.152E-01  7.910E-01     291 A       157 A       114 A   
  12.00 keV   4.336E-01  7.838E-01     315 A       168 A       121 A   
  13.00 keV   4.514E-01  7.762E-01     338 A       178 A       129 A   
  14.00 keV   4.684E-01  7.684E-01     362 A       189 A       136 A   
  15.00 keV   4.848E-01  7.604E-01     386 A       199 A       144 A   
  16.00 keV   5.007E-01  7.524E-01     410 A       209 A       151 A   
  17.00 keV   5.161E-01  7.444E-01     434 A       219 A       159 A   
  18.00 keV   5.311E-01  7.365E-01     458 A       229 A       166 A   
  20.00 keV   5.598E-01  7.207E-01     506 A       248 A       180 A   
  22.50 keV   5.938E-01  7.017E-01     565 A       271 A       198 A   
  25.00 keV   6.259E-01  6.835E-01     625 A       294 A       215 A   
  27.50 keV   6.565E-01  6.661E-01     685 A       316 A       233 A   
  30.00 keV   6.857E-01  6.496E-01     746 A       337 A       249 A   
  32.50 keV   7.136E-01  6.339E-01     806 A       358 A       266 A   
  35.00 keV   7.406E-01  6.190E-01     865 A       378 A       283 A   
  37.50 keV   7.777E-01  6.049E-01     925 A       397 A       299 A   
  40.00 keV   8.179E-01  5.915E-01     984 A       416 A       315 A   
  45.00 keV   8.853E-01  5.666E-01    1100 A       451 A       346 A   
  50.00 keV   9.391E-01  5.440E-01    1215 A       484 A       376 A   
