 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\5Li_Si.txt

 Ion = Lithium [3] , Mass = 5.0125 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   1.333E+00  9.895E-04   16.14 um     6001 A      5555 A   
   7.00 MeV   1.279E+00  9.283E-04   17.79 um     6501 A      5889 A   
   8.00 MeV   1.183E+00  8.271E-04   21.28 um     8284 A      6598 A   
   9.00 MeV   1.101E+00  7.469E-04   25.05 um     9965 A      7359 A   
  10.00 MeV   1.032E+00  6.816E-04   29.09 um     1.16 um     8172 A   
  11.00 MeV   9.690E-01  6.273E-04   33.39 um     1.32 um     9035 A   
  12.00 MeV   9.065E-01  5.815E-04   37.98 um     1.49 um     9953 A   
  13.00 MeV   8.567E-01  5.422E-04   42.86 um     1.65 um     1.09 um  
  14.00 MeV   8.131E-01  5.082E-04   48.02 um     1.82 um     1.20 um  
  15.00 MeV   7.742E-01  4.784E-04   53.44 um     1.99 um     1.30 um  
  16.00 MeV   7.392E-01  4.521E-04   59.13 um     2.16 um     1.42 um  
  17.00 MeV   7.077E-01  4.287E-04   65.08 um     2.33 um     1.53 um  
  18.00 MeV   6.791E-01  4.077E-04   71.28 um     2.51 um     1.66 um  
  20.00 MeV   6.289E-01  3.716E-04   84.45 um     3.16 um     1.92 um  
  22.50 MeV   5.769E-01  3.350E-04  102.32 um     4.08 um     2.27 um  
  25.00 MeV   5.336E-01  3.052E-04  121.71 um     4.95 um     2.65 um  
  27.50 MeV   4.970E-01  2.805E-04  142.60 um     5.81 um     3.05 um  
  30.00 MeV   4.656E-01  2.597E-04  164.97 um     6.66 um     3.48 um  
  32.50 MeV   4.383E-01  2.419E-04  188.79 um     7.51 um     3.94 um  
  35.00 MeV   4.144E-01  2.265E-04  214.03 um     8.36 um     4.43 um  
  37.50 MeV   3.932E-01  2.131E-04  240.69 um     9.22 um     4.94 um  
  40.00 MeV   3.743E-01  2.012E-04  268.73 um    10.09 um     5.47 um  
  45.00 MeV   3.420E-01  1.811E-04  328.88 um    13.30 um     6.61 um  
  50.00 MeV   3.153E-01  1.649E-04  394.42 um    16.32 um     7.84 um  
  55.00 MeV   2.929E-01  1.514E-04  465.24 um    19.26 um     9.17 um  
  60.00 MeV   2.737E-01  1.401E-04  541.25 um    22.17 um    10.58 um  
  65.00 MeV   2.572E-01  1.304E-04  622.36 um    25.09 um    12.09 um  
  70.00 MeV   2.427E-01  1.220E-04  708.50 um    28.03 um    13.68 um  
  80.00 MeV   2.186E-01  1.083E-04  895.41 um    38.77 um    17.11 um  
