 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\3He_Si.txt

 Ion = Helium [2] , Mass = 3.016 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   4.561E-01  3.036E-04   36.78 um     1.47 um     1.20 um  
   6.50 MeV   4.332E-01  2.831E-04   41.62 um     1.64 um     1.33 um  
   7.00 MeV   4.104E-01  2.654E-04   46.71 um     1.81 um     1.47 um  
   8.00 MeV   3.724E-01  2.362E-04   57.71 um     2.43 um     1.77 um  
   9.00 MeV   3.426E-01  2.131E-04   69.75 um     3.00 um     2.09 um  
  10.00 MeV   3.177E-01  1.943E-04   82.79 um     3.56 um     2.44 um  
  11.00 MeV   2.966E-01  1.787E-04   96.80 um     4.12 um     2.80 um  
  12.00 MeV   2.784E-01  1.655E-04  111.76 um     4.68 um     3.20 um  
  13.00 MeV   2.625E-01  1.542E-04  127.67 um     5.24 um     3.61 um  
  14.00 MeV   2.486E-01  1.445E-04  144.50 um     5.81 um     4.05 um  
  15.00 MeV   2.362E-01  1.359E-04  162.25 um     6.38 um     4.50 um  
  16.00 MeV   2.252E-01  1.284E-04  180.90 um     6.96 um     4.98 um  
  17.00 MeV   2.152E-01  1.217E-04  200.44 um     7.55 um     5.48 um  
  18.00 MeV   2.062E-01  1.157E-04  220.85 um     8.15 um     6.00 um  
  20.00 MeV   1.905E-01  1.054E-04  264.27 um    10.32 um     7.10 um  
  22.50 MeV   1.742E-01  9.490E-05  323.32 um    13.42 um     8.58 um  
  25.00 MeV   1.607E-01  8.641E-05  387.59 um    16.36 um    10.18 um  
  27.50 MeV   1.494E-01  7.938E-05  456.98 um    19.24 um    11.90 um  
