 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\B12_Si.txt

 Ion = Boron [5] , Mass = 12.0143 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.744E-01  3.657E-01     400 A       227 A       169 A   
  11.00 keV   3.927E-01  3.581E-01     438 A       244 A       182 A   
  12.00 keV   4.102E-01  3.508E-01     476 A       260 A       195 A   
  13.00 keV   4.269E-01  3.438E-01     513 A       275 A       207 A   
  14.00 keV   4.430E-01  3.370E-01     551 A       291 A       220 A   
  15.00 keV   4.586E-01  3.305E-01     588 A       306 A       232 A   
  16.00 keV   4.736E-01  3.242E-01     626 A       320 A       244 A   
  17.00 keV   4.882E-01  3.182E-01     663 A       334 A       256 A   
  18.00 keV   5.024E-01  3.124E-01     700 A       348 A       267 A   
  20.00 keV   5.295E-01  3.015E-01     775 A       375 A       290 A   
  22.50 keV   5.617E-01  2.891E-01     867 A       407 A       318 A   
  25.00 keV   6.000E-01  2.777E-01     959 A       437 A       344 A   
  27.50 keV   6.491E-01  2.674E-01    1048 A       464 A       370 A   
  30.00 keV   6.953E-01  2.579E-01    1135 A       490 A       395 A   
  32.50 keV   7.378E-01  2.491E-01    1219 A       514 A       419 A   
  35.00 keV   7.766E-01  2.411E-01    1302 A       536 A       441 A   
  37.50 keV   8.118E-01  2.336E-01    1384 A       557 A       463 A   
  40.00 keV   8.439E-01  2.267E-01    1464 A       577 A       483 A   
  45.00 keV   9.004E-01  2.142E-01    1621 A       614 A       522 A   
  50.00 keV   9.488E-01  2.032E-01    1776 A       648 A       559 A   
