 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\N12_Si.txt

 Ion = Nitrogen [7] , Mass = 12.0186 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.801E-01  5.269E-01     295 A       176 A       130 A   
  11.00 keV   5.035E-01  5.198E-01     322 A       188 A       140 A   
  12.00 keV   5.259E-01  5.125E-01     348 A       200 A       149 A   
  13.00 keV   5.474E-01  5.052E-01     375 A       212 A       159 A   
  14.00 keV   5.680E-01  4.980E-01     401 A       224 A       168 A   
  15.00 keV   5.880E-01  4.909E-01     427 A       236 A       177 A   
  16.00 keV   6.073E-01  4.840E-01     454 A       247 A       186 A   
  17.00 keV   6.259E-01  4.771E-01     480 A       258 A       194 A   
  18.00 keV   6.441E-01  4.705E-01     506 A       268 A       203 A   
  20.00 keV   6.789E-01  4.576E-01     559 A       289 A       220 A   
  22.50 keV   7.201E-01  4.425E-01     624 A       314 A       240 A   
  25.00 keV   7.732E-01  4.284E-01     688 A       337 A       260 A   
  27.50 keV   8.419E-01  4.152E-01     751 A       359 A       279 A   
  30.00 keV   9.018E-01  4.029E-01     812 A       379 A       298 A   
  32.50 keV   9.534E-01  3.914E-01     872 A       398 A       316 A   
  35.00 keV   9.978E-01  3.807E-01     931 A       416 A       333 A   
  37.50 keV   1.036E+00  3.706E-01     989 A       433 A       349 A   
  40.00 keV   1.069E+00  3.611E-01    1047 A       449 A       365 A   
  45.00 keV   1.125E+00  3.437E-01    1161 A       481 A       395 A   
  50.00 keV   1.171E+00  3.282E-01    1275 A       510 A       423 A   
