 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\20O_Si.txt

 Ion = Oxygen [8] , Mass = 20.0041 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.755E-01  8.523E-01     266 A       141 A       102 A   
  11.00 keV   3.938E-01  8.458E-01     290 A       152 A       109 A   
  12.00 keV   4.113E-01  8.387E-01     314 A       162 A       117 A   
  13.00 keV   4.281E-01  8.311E-01     337 A       172 A       124 A   
  14.00 keV   4.443E-01  8.233E-01     361 A       182 A       131 A   
  15.00 keV   4.599E-01  8.152E-01     385 A       192 A       138 A   
  16.00 keV   4.750E-01  8.071E-01     408 A       202 A       145 A   
  17.00 keV   4.896E-01  7.989E-01     432 A       212 A       152 A   
  18.00 keV   5.038E-01  7.907E-01     456 A       221 A       159 A   
  20.00 keV   5.310E-01  7.746E-01     504 A       240 A       173 A   
  22.50 keV   5.632E-01  7.549E-01     563 A       263 A       190 A   
  25.00 keV   5.937E-01  7.359E-01     623 A       285 A       207 A   
  27.50 keV   6.227E-01  7.178E-01     683 A       307 A       224 A   
  30.00 keV   6.504E-01  7.005E-01     743 A       328 A       240 A   
  32.50 keV   6.769E-01  6.841E-01     803 A       348 A       257 A   
  35.00 keV   7.025E-01  6.685E-01     864 A       368 A       273 A   
  37.50 keV   7.271E-01  6.536E-01     924 A       388 A       288 A   
  40.00 keV   7.510E-01  6.394E-01     984 A       407 A       304 A   
  45.00 keV   8.253E-01  6.131E-01    1103 A       443 A       335 A   
  50.00 keV   8.852E-01  5.891E-01    1219 A       477 A       365 A   
