 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\8Li_Si.txt

 Ion = Lithium [3] , Mass = 8.0225 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.536E-01  1.424E-01     696 A       404 A       315 A   
  11.00 keV   2.660E-01  1.377E-01     765 A       433 A       339 A   
  12.00 keV   2.778E-01  1.334E-01     834 A       460 A       364 A   
  13.00 keV   2.892E-01  1.293E-01     903 A       487 A       387 A   
  14.00 keV   3.001E-01  1.256E-01     971 A       513 A       410 A   
  15.00 keV   3.106E-01  1.220E-01    1040 A       538 A       433 A   
  16.00 keV   3.208E-01  1.187E-01    1108 A       562 A       455 A   
  17.00 keV   3.312E-01  1.156E-01    1176 A       586 A       477 A   
  18.00 keV   3.414E-01  1.127E-01    1243 A       608 A       498 A   
  20.00 keV   3.606E-01  1.074E-01    1377 A       651 A       539 A   
  22.50 keV   3.827E-01  1.015E-01    1542 A       701 A       588 A   
  25.00 keV   4.028E-01  9.637E-02    1705 A       748 A       635 A   
  27.50 keV   4.209E-01  9.178E-02    1867 A       791 A       680 A   
  30.00 keV   4.371E-01  8.768E-02    2027 A       832 A       722 A   
  32.50 keV   4.519E-01  8.399E-02    2185 A       871 A       764 A   
  35.00 keV   4.657E-01  8.064E-02    2342 A       908 A       803 A   
  37.50 keV   4.791E-01  7.760E-02    2498 A       943 A       841 A   
  40.00 keV   4.927E-01  7.481E-02    2653 A       977 A       878 A   
  45.00 keV   5.211E-01  6.987E-02    2957 A      1039 A       949 A   
