 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Be10_Si.txt

 Ion = Beryllium [4] , Mass = 10.0135 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   2.715E+00  3.292E-03   10.21 um     4073 A      4637 A   
   7.00 MeV   2.660E+00  3.090E-03   11.01 um     4261 A      4765 A   
   8.00 MeV   2.559E+00  2.757E-03   12.66 um     4916 A      5023 A   
   9.00 MeV   2.468E+00  2.492E-03   14.37 um     5536 A      5286 A   
  10.00 MeV   2.385E+00  2.276E-03   16.14 um     6132 A      5555 A   
  11.00 MeV   2.309E+00  2.097E-03   17.97 um     6711 A      5829 A   
  12.00 MeV   2.239E+00  1.945E-03   19.86 um     7277 A      6109 A   
  13.00 MeV   2.174E+00  1.815E-03   21.81 um     7835 A      6395 A   
  14.00 MeV   2.114E+00  1.702E-03   23.82 um     8385 A      6688 A   
  15.00 MeV   2.057E+00  1.603E-03   25.88 um     8931 A      6986 A   
  16.00 MeV   2.003E+00  1.516E-03   28.00 um     9474 A      7291 A   
  17.00 MeV   1.952E+00  1.438E-03   30.18 um     1.00 um     7601 A   
  18.00 MeV   1.904E+00  1.368E-03   32.41 um     1.06 um     7918 A   
  20.00 MeV   1.814E+00  1.248E-03   37.04 um     1.25 um     8571 A   
  22.50 MeV   1.708E+00  1.126E-03   43.15 um     1.53 um     9424 A   
  25.00 MeV   1.601E+00  1.026E-03   49.66 um     1.80 um     1.03 um  
  27.50 MeV   1.513E+00  9.440E-04   56.57 um     2.06 um     1.13 um  
  30.00 MeV   1.433E+00  8.745E-04   63.88 um     2.32 um     1.23 um  
  32.50 MeV   1.361E+00  8.150E-04   71.58 um     2.57 um     1.33 um  
  35.00 MeV   1.295E+00  7.635E-04   79.69 um     2.83 um     1.44 um  
  37.50 MeV   1.235E+00  7.184E-04   88.20 um     3.09 um     1.55 um  
  40.00 MeV   1.180E+00  6.785E-04   97.11 um     3.35 um     1.67 um  
  45.00 MeV   1.082E+00  6.114E-04  116.16 um     4.32 um     1.93 um  
  50.00 MeV   9.984E-01  5.569E-04  136.88 um     5.25 um     2.20 um  
  55.00 MeV   9.261E-01  5.117E-04  159.27 um     6.15 um     2.49 um  
