 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Be8_Si.txt

 Ion = Beryllium [4] , Mass = 8.0053 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.809E-01  2.033E-01     538 A       338 A       258 A   
  11.00 keV   2.946E-01  1.978E-01     592 A       363 A       279 A   
  12.00 keV   3.077E-01  1.926E-01     645 A       387 A       299 A   
  13.00 keV   3.203E-01  1.876E-01     698 A       411 A       319 A   
  14.00 keV   3.324E-01  1.830E-01     751 A       434 A       338 A   
  15.00 keV   3.440E-01  1.786E-01     805 A       456 A       357 A   
  16.00 keV   3.553E-01  1.744E-01     858 A       478 A       376 A   
  17.00 keV   3.700E-01  1.705E-01     911 A       499 A       395 A   
  18.00 keV   3.838E-01  1.667E-01     963 A       519 A       413 A   
  20.00 keV   4.091E-01  1.598E-01    1067 A       557 A       448 A   
  22.50 keV   4.373E-01  1.520E-01    1195 A       602 A       490 A   
  25.00 keV   4.629E-01  1.451E-01    1322 A       644 A       530 A   
  27.50 keV   4.869E-01  1.388E-01    1447 A       684 A       568 A   
  30.00 keV   5.100E-01  1.332E-01    1571 A       721 A       605 A   
  32.50 keV   5.325E-01  1.281E-01    1694 A       756 A       640 A   
  35.00 keV   5.545E-01  1.234E-01    1815 A       789 A       674 A   
  37.50 keV   5.760E-01  1.191E-01    1934 A       821 A       707 A   
  40.00 keV   5.969E-01  1.152E-01    2052 A       851 A       738 A   
  45.00 keV   6.369E-01  1.081E-01    2283 A       906 A       798 A   
