 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\13O_Si.txt

 Ion = Oxygen [8] , Mass = 13.0248 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   6.957E+00  1.409E-02    5.06 um     2449 A      3070 A   
   8.00 MeV   6.869E+00  1.261E-02    5.69 um     2635 A      3180 A   
   9.00 MeV   6.784E+00  1.142E-02    6.31 um     2812 A      3287 A   
  10.00 MeV   6.702E+00  1.046E-02    6.95 um     2982 A      3391 A   
  11.00 MeV   6.622E+00  9.649E-03    7.60 um     3146 A      3493 A   
  12.00 MeV   6.545E+00  8.964E-03    8.25 um     3305 A      3594 A   
  13.00 MeV   6.470E+00  8.377E-03    8.91 um     3460 A      3694 A   
  14.00 MeV   6.397E+00  7.866E-03    9.58 um     3612 A      3793 A   
  15.00 MeV   6.325E+00  7.417E-03   10.25 um     3760 A      3892 A   
  16.00 MeV   6.254E+00  7.020E-03   10.94 um     3906 A      3990 A   
  17.00 MeV   6.185E+00  6.666E-03   11.63 um     4050 A      4087 A   
  18.00 MeV   6.116E+00  6.348E-03   12.33 um     4192 A      4185 A   
  20.00 MeV   5.981E+00  5.800E-03   13.75 um     4692 A      4379 A   
  22.50 MeV   5.818E+00  5.242E-03   15.57 um     5401 A      4623 A   
  25.00 MeV   5.659E+00  4.787E-03   17.44 um     6061 A      4868 A   
  27.50 MeV   5.508E+00  4.409E-03   19.37 um     6689 A      5115 A   
  30.00 MeV   5.327E+00  4.089E-03   21.36 um     7296 A      5365 A   
  32.50 MeV   5.143E+00  3.815E-03   23.41 um     7896 A      5620 A   
  35.00 MeV   4.988E+00  3.578E-03   25.54 um     8489 A      5880 A   
  37.50 MeV   4.840E+00  3.369E-03   27.73 um     9078 A      6146 A   
  40.00 MeV   4.699E+00  3.185E-03   29.98 um     9664 A      6417 A   
  45.00 MeV   4.436E+00  2.874E-03   34.70 um     1.18 um     6978 A   
  50.00 MeV   4.197E+00  2.622E-03   39.68 um     1.38 um     7563 A   
  55.00 MeV   3.979E+00  2.412E-03   44.95 um     1.58 um     8175 A   
  60.00 MeV   3.781E+00  2.235E-03   50.50 um     1.77 um     8815 A   
  65.00 MeV   3.600E+00  2.083E-03   56.33 um     1.96 um     9483 A   
  70.00 MeV   3.435E+00  1.952E-03   62.46 um     2.15 um     1.02 um  
  80.00 MeV   3.145E+00  1.735E-03   75.56 um     2.85 um     1.17 um  
  90.00 MeV   2.899E+00  1.564E-03   89.82 um     3.51 um     1.33 um  
 100.00 MeV   2.690E+00  1.425E-03  105.24 um     4.15 um     1.50 um  
 110.00 MeV   2.511E+00  1.309E-03  121.81 um     4.78 um     1.68 um  
 120.00 MeV   2.355E+00  1.212E-03  139.52 um     5.41 um     1.88 um  
 130.00 MeV   2.220E+00  1.129E-03  158.36 um     6.05 um     2.09 um  
 140.00 MeV   2.101E+00  1.057E-03  178.30 um     6.69 um     2.30 um  
 150.00 MeV   1.996E+00  9.940E-04  199.33 um     7.34 um     2.54 um  
 160.00 MeV   1.902E+00  9.385E-04  221.43 um     8.00 um     2.78 um  
 170.00 MeV   1.818E+00  8.891E-04  244.59 um     8.66 um     3.03 um  
 180.00 MeV   1.743E+00  8.449E-04  268.78 um     9.34 um     3.29 um  
 200.00 MeV   1.612E+00  7.690E-04  320.17 um    11.87 um     3.85 um  
 225.00 MeV   1.477E+00  6.922E-04  389.95 um    15.49 um     4.60 um  
 250.00 MeV   1.366E+00  6.298E-04  465.74 um    18.89 um     5.41 um  
 275.00 MeV   1.271E+00  5.782E-04  547.47 um    22.20 um     6.28 um  
 300.00 MeV   1.188E+00  5.348E-04  635.12 um    25.49 um     7.21 um  
 325.00 MeV   1.113E+00  4.977E-04  728.77 um    28.79 um     8.20 um  
 350.00 MeV   1.045E+00  4.656E-04  828.62 um    32.13 um     9.24 um  
 375.00 MeV   9.817E-01  4.376E-04  934.93 um    35.55 um    10.35 um  
 400.00 MeV   9.266E-01  4.129E-04    1.05 mm    39.05 um    11.53 um  
 450.00 MeV   8.445E-01  3.713E-04    1.29 mm    52.21 um    14.06 um  
 500.00 MeV   7.772E-01  3.376E-04    1.56 mm    64.50 um    16.81 um  
 550.00 MeV   7.211E-01  3.097E-04    1.84 mm    76.42 um    19.78 um  
 600.00 MeV   6.736E-01  2.863E-04    2.15 mm    88.21 um    22.96 um  
 650.00 MeV   6.327E-01  2.663E-04    2.48 mm    99.98 um    26.34 um  
 700.00 MeV   5.972E-01  2.490E-04    2.83 mm   111.78 um    29.91 um  
 800.00 MeV   5.385E-01  2.206E-04    3.59 mm   155.43 um    37.64 um  
 900.00 MeV   4.919E-01  1.982E-04    4.43 mm   195.78 um    46.09 um  
   1.00 GeV   4.539E-01  1.801E-04    5.34 mm   234.85 um    55.23 um  
   1.10 GeV   4.224E-01  1.651E-04    6.33 mm   273.43 um    65.04 um  
   1.20 GeV   3.958E-01  1.526E-04    7.38 mm   311.88 um    75.48 um  
   1.30 GeV   3.731E-01  1.418E-04    8.50 mm   350.39 um    86.53 um  
   1.40 GeV   3.534E-01  1.326E-04    9.69 mm   389.05 um    98.16 um  
   1.50 GeV   3.361E-01  1.245E-04   10.94 mm   427.93 um   110.35 um  
   1.60 GeV   3.209E-01  1.174E-04   12.25 mm   467.04 um   123.07 um  
   1.70 GeV   3.074E-01  1.110E-04   13.62 mm   506.38 um   136.31 um  
   1.80 GeV   2.953E-01  1.054E-04   15.05 mm   545.96 um   150.05 um  
   2.00 GeV   2.746E-01  9.570E-05   18.07 mm   695.00 um   178.94 um  
   2.25 GeV   2.537E-01  8.592E-05   22.15 mm   905.03 um   217.53 um  
   2.50 GeV   2.368E-01  7.802E-05   26.55 mm     1.10 mm   258.63 um  
   2.75 GeV   2.228E-01  7.149E-05   31.24 mm     1.29 mm   302.01 um  
   3.00 GeV   2.111E-01  6.600E-05   36.20 mm     1.47 mm   347.47 um  
   3.25 GeV   2.012E-01  6.133E-05   41.43 mm     1.64 mm   394.83 um  
   3.50 GeV   1.926E-01  5.729E-05   46.90 mm     1.82 mm   443.91 um  
   3.75 GeV   1.852E-01  5.377E-05   52.60 mm     1.99 mm   494.57 um  
   4.00 GeV   1.787E-01  5.067E-05   58.52 mm     2.16 mm   546.68 um  
   4.50 GeV   1.679E-01  4.547E-05   70.95 mm     2.79 mm   654.74 um  
   5.00 GeV   1.592E-01  4.127E-05   84.13 mm     3.36 mm   767.17 um  
   5.50 GeV   1.522E-01  3.780E-05   97.96 mm     3.89 mm   883.21 um  
   6.00 GeV   1.463E-01  3.488E-05  112.40 mm     4.40 mm     1.00 mm  
   6.50 GeV   1.414E-01  3.240E-05  127.37 mm     4.89 mm     1.12 mm  
   7.00 GeV   1.373E-01  3.026E-05  142.83 mm     5.36 mm     1.25 mm  
   8.00 GeV   1.306E-01  2.675E-05  175.00 mm     7.04 mm     1.50 mm  
   9.00 GeV   1.256E-01  2.399E-05  208.65 mm     8.50 mm     1.75 mm  
  10.00 GeV   1.216E-01  2.176E-05  243.50 mm     9.83 mm     2.01 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  4.8647E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
