 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\N15_Si.txt

 Ion = Nitrogen [7] , Mass = 15.0001 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.297E-01  6.177E-01     295 A       166 A       121 A   
  11.00 keV   4.507E-01  6.102E-01     322 A       178 A       130 A   
  12.00 keV   4.707E-01  6.024E-01     349 A       190 A       139 A   
  13.00 keV   4.900E-01  5.945E-01     375 A       202 A       148 A   
  14.00 keV   5.085E-01  5.867E-01     402 A       213 A       157 A   
  15.00 keV   5.263E-01  5.789E-01     428 A       225 A       165 A   
  16.00 keV   5.436E-01  5.712E-01     455 A       236 A       174 A   
  17.00 keV   5.603E-01  5.637E-01     482 A       246 A       182 A   
  18.00 keV   5.765E-01  5.562E-01     508 A       257 A       190 A   
  20.00 keV   6.077E-01  5.419E-01     561 A       278 A       207 A   
  22.50 keV   6.446E-01  5.249E-01     628 A       303 A       227 A   
  25.00 keV   6.794E-01  5.089E-01     694 A       326 A       246 A   
  27.50 keV   7.126E-01  4.939E-01     760 A       349 A       265 A   
  30.00 keV   7.443E-01  4.799E-01     825 A       372 A       284 A   
  32.50 keV   8.029E-01  4.667E-01     890 A       393 A       302 A   
  35.00 keV   8.557E-01  4.543E-01     953 A       412 A       320 A   
  37.50 keV   9.028E-01  4.427E-01    1015 A       430 A       337 A   
  40.00 keV   9.447E-01  4.317E-01    1075 A       448 A       354 A   
  45.00 keV   1.015E+00  4.116E-01    1195 A       481 A       386 A   
  50.00 keV   1.070E+00  3.935E-01    1313 A       512 A       416 A   
