 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\B13_Si.txt

 Ion = Boron [5] , Mass = 13.0177 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.597E-01  3.885E-01     400 A       223 A       165 A   
  11.00 keV   3.773E-01  3.807E-01     438 A       239 A       178 A   
  12.00 keV   3.941E-01  3.731E-01     476 A       255 A       190 A   
  13.00 keV   4.101E-01  3.658E-01     514 A       271 A       203 A   
  14.00 keV   4.256E-01  3.587E-01     551 A       286 A       215 A   
  15.00 keV   4.406E-01  3.519E-01     589 A       301 A       227 A   
  16.00 keV   4.550E-01  3.453E-01     627 A       316 A       239 A   
  17.00 keV   4.690E-01  3.390E-01     664 A       330 A       250 A   
  18.00 keV   4.826E-01  3.329E-01     702 A       344 A       262 A   
  20.00 keV   5.087E-01  3.215E-01     777 A       371 A       284 A   
  22.50 keV   5.396E-01  3.083E-01     870 A       403 A       312 A   
  25.00 keV   5.688E-01  2.964E-01     963 A       434 A       339 A   
  27.50 keV   6.076E-01  2.855E-01    1055 A       462 A       365 A   
  30.00 keV   6.526E-01  2.754E-01    1144 A       489 A       390 A   
  32.50 keV   6.952E-01  2.662E-01    1232 A       514 A       414 A   
  35.00 keV   7.346E-01  2.577E-01    1317 A       537 A       437 A   
  37.50 keV   7.708E-01  2.498E-01    1400 A       559 A       459 A   
  40.00 keV   8.039E-01  2.424E-01    1483 A       579 A       481 A   
  45.00 keV   8.622E-01  2.291E-01    1644 A       618 A       521 A   
  50.00 keV   9.121E-01  2.175E-01    1801 A       653 A       559 A   
