 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Mg23_Si.txt

 Ion = Magnesium [12] , Mass = 22.994 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   1.081E+01  4.972E-02    4.40 um     3114 A      3957 A   
   8.00 MeV   1.102E+01  4.460E-02    4.79 um     3189 A      4037 A   
   9.00 MeV   1.117E+01  4.051E-02    5.17 um     3259 A      4110 A   
  10.00 MeV   1.127E+01  3.715E-02    5.55 um     3324 A      4177 A   
  11.00 MeV   1.135E+01  3.434E-02    5.93 um     3386 A      4240 A   
  12.00 MeV   1.141E+01  3.196E-02    6.31 um     3445 A      4299 A   
  13.00 MeV   1.145E+01  2.990E-02    6.68 um     3503 A      4355 A   
  14.00 MeV   1.147E+01  2.811E-02    7.06 um     3559 A      4409 A   
  15.00 MeV   1.148E+01  2.654E-02    7.43 um     3613 A      4461 A   
  16.00 MeV   1.149E+01  2.515E-02    7.81 um     3666 A      4511 A   
  17.00 MeV   1.149E+01  2.390E-02    8.18 um     3718 A      4559 A   
  18.00 MeV   1.148E+01  2.278E-02    8.55 um     3769 A      4606 A   
  20.00 MeV   1.144E+01  2.085E-02    9.30 um     3941 A      4697 A   
  22.50 MeV   1.138E+01  1.888E-02   10.24 um     4188 A      4806 A   
  25.00 MeV   1.130E+01  1.727E-02   11.19 um     4424 A      4912 A   
  27.50 MeV   1.121E+01  1.592E-02   12.14 um     4651 A      5014 A   
  30.00 MeV   1.111E+01  1.479E-02   13.11 um     4870 A      5114 A   
  32.50 MeV   1.100E+01  1.381E-02   14.08 um     5084 A      5212 A   
  35.00 MeV   1.088E+01  1.296E-02   15.06 um     5293 A      5309 A   
  37.50 MeV   1.076E+01  1.222E-02   16.06 um     5497 A      5405 A   
  40.00 MeV   1.064E+01  1.156E-02   17.06 um     5699 A      5500 A   
  45.00 MeV   1.040E+01  1.045E-02   19.11 um     6429 A      5690 A   
  50.00 MeV   1.014E+01  9.541E-03   21.20 um     7114 A      5879 A   
  55.00 MeV   9.794E+00  8.787E-03   23.36 um     7775 A      6071 A   
  60.00 MeV   9.510E+00  8.150E-03   25.59 um     8424 A      6265 A   
  65.00 MeV   9.240E+00  7.603E-03   27.88 um     9060 A      6463 A   
  70.00 MeV   8.981E+00  7.130E-03   30.25 um     9689 A      6665 A   
  80.00 MeV   8.497E+00  6.347E-03   35.17 um     1.20 um     7081 A   
  90.00 MeV   8.054E+00  5.728E-03   40.38 um     1.41 um     7517 A   
 100.00 MeV   7.651E+00  5.224E-03   45.86 um     1.62 um     7974 A   
 110.00 MeV   7.284E+00  4.805E-03   51.63 um     1.82 um     8452 A   
 120.00 MeV   6.950E+00  4.452E-03   57.68 um     2.01 um     8953 A   
 130.00 MeV   6.644E+00  4.150E-03   64.02 um     2.21 um     9478 A   
 140.00 MeV   6.364E+00  3.888E-03   70.64 um     2.40 um     1.00 um  
 150.00 MeV   6.107E+00  3.659E-03   77.55 um     2.60 um     1.06 um  
 160.00 MeV   5.871E+00  3.456E-03   84.74 um     2.80 um     1.12 um  
 170.00 MeV   5.653E+00  3.276E-03   92.21 um     3.00 um     1.18 um  
 180.00 MeV   5.452E+00  3.115E-03   99.97 um     3.20 um     1.24 um  
 200.00 MeV   5.092E+00  2.838E-03  116.32 um     3.96 um     1.38 um  
 225.00 MeV   4.710E+00  2.556E-03  138.30 um     5.05 um     1.56 um  
 250.00 MeV   4.387E+00  2.328E-03  161.99 um     6.07 um     1.76 um  
 275.00 MeV   4.110E+00  2.139E-03  187.35 um     7.07 um     1.97 um  
 300.00 MeV   3.869E+00  1.980E-03  214.35 um     8.05 um     2.19 um  
 325.00 MeV   3.659E+00  1.843E-03  242.97 um     9.02 um     2.42 um  
 350.00 MeV   3.474E+00  1.726E-03  273.17 um    10.00 um     2.67 um  
 375.00 MeV   3.308E+00  1.622E-03  304.93 um    10.98 um     2.93 um  
 400.00 MeV   3.159E+00  1.532E-03  338.24 um    11.96 um     3.20 um  
 450.00 MeV   2.902E+00  1.378E-03  409.37 um    15.67 um     3.77 um  
 500.00 MeV   2.686E+00  1.254E-03  486.51 um    19.12 um     4.39 um  
 550.00 MeV   2.501E+00  1.151E-03  569.60 um    22.48 um     5.05 um  
 600.00 MeV   2.340E+00  1.065E-03  658.63 um    25.81 um     5.76 um  
 650.00 MeV   2.197E+00  9.910E-04  753.62 um    29.13 um     6.51 um  
 700.00 MeV   2.071E+00  9.271E-04  854.58 um    32.49 um     7.30 um  
 800.00 MeV   1.866E+00  8.221E-04    1.07 mm    44.99 um     9.01 um  
 900.00 MeV   1.702E+00  7.392E-04    1.32 mm    56.60 um    10.89 um  
   1.00 GeV   1.567E+00  6.721E-04    1.58 mm    67.88 um    12.93 um  
   1.10 GeV   1.455E+00  6.166E-04    1.86 mm    79.06 um    15.12 um  
   1.20 GeV   1.360E+00  5.700E-04    2.17 mm    90.26 um    17.46 um  
   1.30 GeV   1.278E+00  5.301E-04    2.50 mm   101.51 um    19.94 um  
   1.40 GeV   1.207E+00  4.957E-04    2.84 mm   112.86 um    22.57 um  
   1.50 GeV   1.145E+00  4.656E-04    3.21 mm   124.32 um    25.34 um  
   1.60 GeV   1.090E+00  4.391E-04    3.60 mm   135.90 um    28.24 um  
   1.70 GeV   1.040E+00  4.156E-04    4.00 mm   147.60 um    31.27 um  
   1.80 GeV   9.963E-01  3.946E-04    4.42 mm   159.42 um    34.42 um  
   2.00 GeV   9.204E-01  3.585E-04    5.32 mm   204.28 um    41.11 um  
   2.25 GeV   8.433E-01  3.221E-04    6.55 mm   267.99 um    50.14 um  
   2.50 GeV   7.807E-01  2.926E-04    7.87 mm   327.58 um    59.87 um  
   2.75 GeV   7.288E-01  2.683E-04    9.30 mm   385.22 um    70.25 um  
   3.00 GeV   6.851E-01  2.478E-04   10.83 mm   441.84 um    81.26 um  
   3.25 GeV   6.478E-01  2.303E-04   12.44 mm   497.94 um    92.86 um  
   3.50 GeV   6.155E-01  2.152E-04   14.15 mm   553.76 um   105.02 um  
   3.75 GeV   5.873E-01  2.021E-04   15.94 mm   609.44 um   117.71 um  
   4.00 GeV   5.625E-01  1.905E-04   17.81 mm   665.07 um   130.89 um  
   4.50 GeV   5.209E-01  1.710E-04   21.79 mm   872.27 um   158.68 um  
   5.00 GeV   4.873E-01  1.553E-04   26.07 mm     1.06 mm   188.19 um  
   5.50 GeV   4.596E-01  1.423E-04   30.62 mm     1.24 mm   219.23 um  
   6.00 GeV   4.365E-01  1.314E-04   35.43 mm     1.42 mm   251.68 um  
   6.50 GeV   4.168E-01  1.221E-04   40.48 mm     1.59 mm   285.37 um  
   7.00 GeV   4.000E-01  1.140E-04   45.75 mm     1.76 mm   320.20 um  
   8.00 GeV   3.725E-01  1.009E-04   56.92 mm     2.36 mm   392.84 um  
   9.00 GeV   3.512E-01  9.049E-05   68.83 mm     2.90 mm   468.80 um  
  10.00 GeV   3.343E-01  8.212E-05   81.40 mm     3.41 mm   547.45 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  2.4227E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
