 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\6Li_Si.txt

 Ion = Lithium [3] , Mass = 6.0151 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.929E-01  1.108E-01     682 A       412 A       327 A   
  11.00 keV   3.072E-01  1.071E-01     748 A       439 A       351 A   
  12.00 keV   3.208E-01  1.036E-01     814 A       465 A       375 A   
  13.00 keV   3.347E-01  1.004E-01     879 A       491 A       397 A   
  14.00 keV   3.480E-01  9.736E-02     944 A       515 A       420 A   
  15.00 keV   3.606E-01  9.457E-02    1009 A       538 A       441 A   
  16.00 keV   3.727E-01  9.195E-02    1073 A       560 A       462 A   
  17.00 keV   3.841E-01  8.950E-02    1136 A       581 A       482 A   
  18.00 keV   3.950E-01  8.721E-02    1199 A       601 A       502 A   
  20.00 keV   4.151E-01  8.300E-02    1325 A       640 A       540 A   
  22.50 keV   4.372E-01  7.837E-02    1480 A       685 A       586 A   
  25.00 keV   4.566E-01  7.431E-02    1633 A       727 A       629 A   
  27.50 keV   4.747E-01  7.072E-02    1785 A       766 A       670 A   
  30.00 keV   4.927E-01  6.751E-02    1935 A       803 A       709 A   
  32.50 keV   5.115E-01  6.462E-02    2083 A       838 A       747 A   
  35.00 keV   5.310E-01  6.201E-02    2229 A       870 A       783 A   
  37.50 keV   5.510E-01  5.964E-02    2372 A       901 A       817 A   
  40.00 keV   5.712E-01  5.747E-02    2513 A       929 A       850 A   
  45.00 keV   6.108E-01  5.363E-02    2786 A       982 A       912 A   
