 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\B8_Si.txt

 Ion = Boron [5] , Mass = 8.0246 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   3.484E+00  3.761E-03    8.24 um     3133 A      3426 A   
   8.00 MeV   3.378E+00  3.357E-03    9.49 um     3651 A      3658 A   
   9.00 MeV   3.277E+00  3.036E-03   10.78 um     4132 A      3891 A   
  10.00 MeV   3.182E+00  2.774E-03   12.11 um     4588 A      4126 A   
  11.00 MeV   3.091E+00  2.556E-03   13.49 um     5027 A      4362 A   
  12.00 MeV   3.004E+00  2.372E-03   14.90 um     5453 A      4602 A   
  13.00 MeV   2.920E+00  2.214E-03   16.35 um     5871 A      4845 A   
  14.00 MeV   2.841E+00  2.077E-03   17.84 um     6284 A      5091 A   
  15.00 MeV   2.764E+00  1.957E-03   19.38 um     6692 A      5341 A   
  16.00 MeV   2.691E+00  1.850E-03   20.95 um     7098 A      5595 A   
  17.00 MeV   2.622E+00  1.756E-03   22.57 um     7503 A      5854 A   
  18.00 MeV   2.547E+00  1.671E-03   24.24 um     7909 A      6117 A   
  20.00 MeV   2.396E+00  1.524E-03   27.72 um     9401 A      6660 A   
  22.50 MeV   2.241E+00  1.376E-03   32.37 um     1.16 um     7374 A   
  25.00 MeV   2.103E+00  1.255E-03   37.32 um     1.36 um     8127 A   
  27.50 MeV   1.980E+00  1.154E-03   42.60 um     1.56 um     8920 A   
  30.00 MeV   1.869E+00  1.070E-03   48.19 um     1.76 um     9755 A   
