 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\N13_Si.txt

 Ion = Nitrogen [7] , Mass = 13.0057 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.615E-01  5.583E-01     295 A       172 A       127 A   
  11.00 keV   4.840E-01  5.509E-01     322 A       185 A       137 A   
  12.00 keV   5.055E-01  5.435E-01     349 A       197 A       146 A   
  13.00 keV   5.262E-01  5.360E-01     375 A       209 A       155 A   
  14.00 keV   5.460E-01  5.286E-01     402 A       221 A       164 A   
  15.00 keV   5.652E-01  5.212E-01     428 A       232 A       173 A   
  16.00 keV   5.838E-01  5.140E-01     455 A       243 A       182 A   
  17.00 keV   6.017E-01  5.069E-01     481 A       254 A       190 A   
  18.00 keV   6.192E-01  4.999E-01     507 A       265 A       199 A   
  20.00 keV   6.527E-01  4.865E-01     560 A       285 A       215 A   
  22.50 keV   6.922E-01  4.707E-01     626 A       310 A       236 A   
  25.00 keV   7.297E-01  4.559E-01     691 A       334 A       256 A   
  27.50 keV   7.851E-01  4.421E-01     756 A       357 A       275 A   
  30.00 keV   8.476E-01  4.292E-01     818 A       377 A       294 A   
  32.50 keV   9.026E-01  4.171E-01     880 A       397 A       312 A   
  35.00 keV   9.504E-01  4.058E-01     940 A       415 A       329 A   
  37.50 keV   9.920E-01  3.952E-01     999 A       433 A       346 A   
  40.00 keV   1.028E+00  3.851E-01    1058 A       450 A       362 A   
  45.00 keV   1.089E+00  3.668E-01    1174 A       481 A       393 A   
  50.00 keV   1.137E+00  3.504E-01    1289 A       511 A       422 A   
