 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\21Ne_Si.txt

 Ion = Neon [10] , Mass = 20.9938 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.068E-01  1.083E+00     232 A       128 A        91 A   
  11.00 keV   3.217E-01  1.080E+00     252 A       137 A        98 A   
  12.00 keV   3.361E-01  1.075E+00     273 A       147 A       105 A   
  13.00 keV   3.498E-01  1.070E+00     293 A       156 A       111 A   
  14.00 keV   3.630E-01  1.064E+00     314 A       166 A       118 A   
  15.00 keV   3.757E-01  1.057E+00     334 A       175 A       124 A   
  16.00 keV   3.880E-01  1.050E+00     355 A       184 A       130 A   
  17.00 keV   4.000E-01  1.043E+00     375 A       193 A       137 A   
  18.00 keV   4.116E-01  1.035E+00     396 A       202 A       143 A   
  20.00 keV   4.338E-01  1.020E+00     437 A       220 A       156 A   
  22.50 keV   4.602E-01  1.000E+00     489 A       242 A       171 A   
  25.00 keV   4.851E-01  9.805E-01     542 A       263 A       187 A   
  27.50 keV   5.087E-01  9.613E-01     595 A       284 A       202 A   
  30.00 keV   5.313E-01  9.426E-01     648 A       305 A       217 A   
  32.50 keV   5.530E-01  9.245E-01     701 A       326 A       232 A   
  35.00 keV   5.739E-01  9.070E-01     755 A       346 A       247 A   
  37.50 keV   5.941E-01  8.901E-01     808 A       366 A       262 A   
  40.00 keV   6.135E-01  8.738E-01     862 A       386 A       277 A   
  45.00 keV   7.068E-01  8.430E-01     969 A       422 A       307 A   
  50.00 keV   8.135E-01  8.145E-01    1072 A       456 A       337 A   
