 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\F21_Si.txt

 Ion = Fluorine [9] , Mass = 20.9999 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.335E-01  9.822E-01     248 A       133 A        95 A   
  11.00 keV   3.498E-01  9.773E-01     270 A       143 A       102 A   
  12.00 keV   3.653E-01  9.714E-01     291 A       153 A       109 A   
  13.00 keV   3.802E-01  9.649E-01     313 A       163 A       116 A   
  14.00 keV   3.946E-01  9.578E-01     335 A       172 A       123 A   
  15.00 keV   4.084E-01  9.503E-01     357 A       182 A       130 A   
  16.00 keV   4.218E-01  9.427E-01     379 A       191 A       136 A   
  17.00 keV   4.348E-01  9.348E-01     401 A       201 A       143 A   
  18.00 keV   4.474E-01  9.268E-01     423 A       210 A       150 A   
  20.00 keV   4.716E-01  9.108E-01     468 A       228 A       163 A   
  22.50 keV   5.002E-01  8.908E-01     524 A       251 A       179 A   
  25.00 keV   5.273E-01  8.713E-01     580 A       273 A       195 A   
  27.50 keV   5.530E-01  8.523E-01     636 A       294 A       211 A   
  30.00 keV   5.776E-01  8.340E-01     692 A       315 A       227 A   
  32.50 keV   6.012E-01  8.164E-01     749 A       336 A       242 A   
  35.00 keV   6.239E-01  7.996E-01     806 A       356 A       258 A   
  37.50 keV   6.458E-01  7.834E-01     863 A       376 A       273 A   
  40.00 keV   6.670E-01  7.679E-01     920 A       395 A       289 A   
  45.00 keV   7.792E-01  7.388E-01    1032 A       431 A       319 A   
  50.00 keV   8.924E-01  7.121E-01    1138 A       463 A       349 A   
