 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Be7_Si.txt

 Ion = Beryllium [4] , Mass = 7.0169 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.000E-01  1.818E-01     536 A       344 A       266 A   
  11.00 keV   3.147E-01  1.768E-01     588 A       369 A       286 A   
  12.00 keV   3.287E-01  1.720E-01     641 A       393 A       307 A   
  13.00 keV   3.421E-01  1.675E-01     693 A       417 A       326 A   
  14.00 keV   3.550E-01  1.633E-01     746 A       439 A       346 A   
  15.00 keV   3.716E-01  1.593E-01     798 A       461 A       365 A   
  16.00 keV   3.872E-01  1.556E-01     849 A       482 A       383 A   
  17.00 keV   4.018E-01  1.520E-01     900 A       502 A       401 A   
  18.00 keV   4.154E-01  1.486E-01     951 A       521 A       419 A   
  20.00 keV   4.406E-01  1.423E-01    1052 A       558 A       453 A   
  22.50 keV   4.694E-01  1.353E-01    1176 A       601 A       494 A   
  25.00 keV   4.964E-01  1.291E-01    1299 A       641 A       533 A   
  27.50 keV   5.224E-01  1.235E-01    1421 A       679 A       569 A   
  30.00 keV   5.477E-01  1.184E-01    1540 A       714 A       605 A   
  32.50 keV   5.724E-01  1.138E-01    1658 A       747 A       638 A   
  35.00 keV   5.963E-01  1.097E-01    1775 A       778 A       671 A   
  37.50 keV   6.195E-01  1.058E-01    1889 A       808 A       702 A   
  40.00 keV   6.418E-01  1.023E-01    2002 A       836 A       731 A   
  45.00 keV   6.842E-01  9.597E-02    2224 A       887 A       788 A   
