 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\14O_Si.txt

 Ion = Oxygen [8] , Mass = 14.0086 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.487E-01  6.743E-01     268 A       158 A       116 A   
  11.00 keV   4.706E-01  6.676E-01     292 A       170 A       124 A   
  12.00 keV   4.915E-01  6.605E-01     316 A       181 A       133 A   
  13.00 keV   5.116E-01  6.531E-01     340 A       192 A       141 A   
  14.00 keV   5.309E-01  6.457E-01     364 A       203 A       149 A   
  15.00 keV   5.496E-01  6.382E-01     388 A       214 A       157 A   
  16.00 keV   5.676E-01  6.308E-01     412 A       224 A       165 A   
  17.00 keV   5.851E-01  6.234E-01     436 A       234 A       173 A   
  18.00 keV   6.020E-01  6.161E-01     460 A       245 A       181 A   
  20.00 keV   6.346E-01  6.018E-01     507 A       264 A       196 A   
  22.50 keV   6.731E-01  5.846E-01     567 A       288 A       215 A   
  25.00 keV   7.095E-01  5.683E-01     627 A       311 A       234 A   
  27.50 keV   7.441E-01  5.529E-01     686 A       333 A       252 A   
  30.00 keV   7.951E-01  5.384E-01     745 A       355 A       269 A   
  32.50 keV   8.435E-01  5.246E-01     803 A       375 A       287 A   
  35.00 keV   8.850E-01  5.116E-01     860 A       394 A       304 A   
  37.50 keV   9.209E-01  4.993E-01     917 A       412 A       320 A   
  40.00 keV   9.523E-01  4.877E-01     973 A       430 A       336 A   
  45.00 keV   1.005E+00  4.662E-01    1085 A       464 A       367 A   
  50.00 keV   1.050E+00  4.468E-01    1197 A       496 A       397 A   
