 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\23Ne_Si.txt

 Ion = Neon [10] , Mass = 22.9945 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   8.475E+00  3.585E-02    5.02 um     2942 A      3783 A   
   8.00 MeV   8.607E+00  3.213E-02    5.52 um     3059 A      3885 A   
   9.00 MeV   8.707E+00  2.916E-02    6.02 um     3167 A      3977 A   
  10.00 MeV   8.783E+00  2.672E-02    6.50 um     3269 A      4064 A   
  11.00 MeV   8.839E+00  2.469E-02    6.99 um     3365 A      4146 A   
  12.00 MeV   8.881E+00  2.296E-02    7.48 um     3457 A      4223 A   
  13.00 MeV   8.911E+00  2.148E-02    7.96 um     3545 A      4297 A   
  14.00 MeV   8.931E+00  2.018E-02    8.44 um     3630 A      4368 A   
  15.00 MeV   8.944E+00  1.905E-02    8.92 um     3713 A      4437 A   
  16.00 MeV   8.949E+00  1.804E-02    9.40 um     3793 A      4503 A   
  17.00 MeV   8.949E+00  1.714E-02    9.88 um     3871 A      4568 A   
  18.00 MeV   8.943E+00  1.634E-02   10.36 um     3948 A      4631 A   
  20.00 MeV   8.920E+00  1.494E-02   11.32 um     4207 A      4753 A   
  22.50 MeV   8.873E+00  1.352E-02   12.53 um     4576 A      4900 A   
  25.00 MeV   8.810E+00  1.236E-02   13.74 um     4921 A      5042 A   
  27.50 MeV   8.736E+00  1.139E-02   14.97 um     5248 A      5180 A   
  30.00 MeV   8.654E+00  1.058E-02   16.20 um     5561 A      5314 A   
  32.50 MeV   8.566E+00  9.875E-03   17.45 um     5862 A      5447 A   
  35.00 MeV   8.473E+00  9.266E-03   18.71 um     6155 A      5578 A   
  37.50 MeV   8.377E+00  8.732E-03   19.99 um     6440 A      5707 A   
  40.00 MeV   8.279E+00  8.259E-03   21.28 um     6719 A      5836 A   
  45.00 MeV   8.079E+00  7.461E-03   23.91 um     7724 A      6091 A   
  50.00 MeV   7.872E+00  6.810E-03   26.61 um     8657 A      6346 A   
  55.00 MeV   7.593E+00  6.270E-03   29.39 um     9549 A      6603 A   
  60.00 MeV   7.364E+00  5.813E-03   32.27 um     1.04 um     6863 A   
  65.00 MeV   7.147E+00  5.422E-03   35.24 um     1.13 um     7128 A   
