 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Be12_Si.txt

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.292E-01  2.827E-01     536 A       308 A       227 A   
  11.00 keV   2.404E-01  2.756E-01     590 A       332 A       246 A   
  12.00 keV   2.511E-01  2.688E-01     645 A       356 A       265 A   
  13.00 keV   2.613E-01  2.624E-01     699 A       380 A       284 A   
  14.00 keV   2.712E-01  2.563E-01     754 A       403 A       302 A   
  15.00 keV   2.807E-01  2.505E-01     809 A       425 A       321 A   
  16.00 keV   2.899E-01  2.450E-01     864 A       447 A       339 A   
  17.00 keV   2.988E-01  2.397E-01     919 A       469 A       357 A   
  18.00 keV   3.075E-01  2.347E-01     974 A       490 A       375 A   
  20.00 keV   3.241E-01  2.254E-01    1085 A       531 A       410 A   
  22.50 keV   3.438E-01  2.149E-01    1223 A       580 A       453 A   
  25.00 keV   3.648E-01  2.055E-01    1361 A       627 A       495 A   
  27.50 keV   3.879E-01  1.970E-01    1498 A       672 A       536 A   
  30.00 keV   4.087E-01  1.893E-01    1633 A       714 A       576 A   
  32.50 keV   4.279E-01  1.823E-01    1768 A       754 A       615 A   
  35.00 keV   4.457E-01  1.759E-01    1901 A       792 A       652 A   
  37.50 keV   4.625E-01  1.699E-01    2033 A       829 A       688 A   
  40.00 keV   4.786E-01  1.645E-01    2164 A       864 A       724 A   
  45.00 keV   5.096E-01  1.547E-01    2423 A       930 A       792 A   
