 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\N16_Si.txt

 Ion = Nitrogen [7] , Mass = 16.0061 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.160E-01  6.459E-01     295 A       163 A       119 A   
  11.00 keV   4.363E-01  6.382E-01     322 A       175 A       128 A   
  12.00 keV   4.557E-01  6.303E-01     348 A       187 A       136 A   
  13.00 keV   4.743E-01  6.224E-01     375 A       198 A       145 A   
  14.00 keV   4.922E-01  6.144E-01     402 A       210 A       153 A   
  15.00 keV   5.095E-01  6.064E-01     428 A       221 A       162 A   
  16.00 keV   5.262E-01  5.985E-01     455 A       232 A       170 A   
  17.00 keV   5.424E-01  5.908E-01     481 A       243 A       178 A   
  18.00 keV   5.581E-01  5.832E-01     508 A       253 A       186 A   
  20.00 keV   5.883E-01  5.684E-01     561 A       274 A       203 A   
  22.50 keV   6.240E-01  5.508E-01     628 A       298 A       222 A   
  25.00 keV   6.578E-01  5.343E-01     694 A       322 A       242 A   
  27.50 keV   6.899E-01  5.188E-01     760 A       345 A       260 A   
  30.00 keV   7.205E-01  5.043E-01     826 A       368 A       279 A   
  32.50 keV   7.554E-01  4.906E-01     892 A       389 A       297 A   
  35.00 keV   8.095E-01  4.778E-01     957 A       409 A       315 A   
  37.50 keV   8.585E-01  4.657E-01    1020 A       428 A       332 A   
  40.00 keV   9.026E-01  4.543E-01    1082 A       446 A       349 A   
  45.00 keV   9.771E-01  4.333E-01    1203 A       480 A       381 A   
  50.00 keV   1.037E+00  4.145E-01    1322 A       511 A       412 A   
