 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Be11_Si.txt

 Ion = Beryllium [4] , Mass = 11.0216 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.394E-01  2.640E-01     538 A       315 A       235 A   
  11.00 keV   2.511E-01  2.572E-01     592 A       340 A       254 A   
  12.00 keV   2.623E-01  2.508E-01     646 A       364 A       273 A   
  13.00 keV   2.730E-01  2.447E-01     701 A       388 A       293 A   
  14.00 keV   2.833E-01  2.389E-01     755 A       411 A       311 A   
  15.00 keV   2.932E-01  2.334E-01     810 A       434 A       330 A   
  16.00 keV   3.028E-01  2.282E-01     865 A       456 A       349 A   
  17.00 keV   3.121E-01  2.232E-01     920 A       477 A       367 A   
  18.00 keV   3.212E-01  2.185E-01     974 A       499 A       385 A   
  20.00 keV   3.386E-01  2.098E-01    1084 A       540 A       421 A   
  22.50 keV   3.604E-01  1.999E-01    1222 A       588 A       464 A   
  25.00 keV   3.860E-01  1.910E-01    1358 A       635 A       506 A   
  27.50 keV   4.088E-01  1.831E-01    1492 A       678 A       547 A   
  30.00 keV   4.296E-01  1.758E-01    1625 A       719 A       586 A   
  32.50 keV   4.488E-01  1.693E-01    1757 A       758 A       624 A   
  35.00 keV   4.670E-01  1.632E-01    1888 A       795 A       661 A   
  37.50 keV   4.844E-01  1.577E-01    2017 A       831 A       697 A   
  40.00 keV   5.013E-01  1.526E-01    2146 A       865 A       732 A   
  45.00 keV   5.341E-01  1.434E-01    2400 A       929 A       798 A   
