 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\F16_Si.txt

 Ion = Fluorine [9] , Mass = 16.0115 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.819E-01  8.288E-01     250 A       147 A       106 A   
  11.00 keV   4.005E-01  8.231E-01     272 A       158 A       114 A   
  12.00 keV   4.184E-01  8.168E-01     295 A       168 A       122 A   
  13.00 keV   4.354E-01  8.099E-01     317 A       179 A       129 A   
  14.00 keV   4.519E-01  8.028E-01     339 A       190 A       137 A   
  15.00 keV   4.677E-01  7.954E-01     362 A       200 A       145 A   
  16.00 keV   4.831E-01  7.879E-01     384 A       210 A       152 A   
  17.00 keV   4.979E-01  7.803E-01     407 A       220 A       160 A   
  18.00 keV   5.124E-01  7.728E-01     429 A       230 A       167 A   
  20.00 keV   5.401E-01  7.577E-01     474 A       250 A       182 A   
  22.50 keV   5.729E-01  7.392E-01     531 A       274 A       200 A   
  25.00 keV   6.039E-01  7.213E-01     587 A       297 A       217 A   
  27.50 keV   6.333E-01  7.041E-01     644 A       320 A       235 A   
  30.00 keV   6.615E-01  6.877E-01     701 A       342 A       252 A   
  32.50 keV   7.055E-01  6.721E-01     758 A       363 A       269 A   
  35.00 keV   8.035E-01  6.571E-01     812 A       382 A       286 A   
  37.50 keV   8.772E-01  6.429E-01     865 A       400 A       303 A   
  40.00 keV   9.319E-01  6.293E-01     916 A       417 A       319 A   
  45.00 keV   1.002E+00  6.040E-01    1017 A       448 A       349 A   
  50.00 keV   1.040E+00  5.809E-01    1118 A       479 A       377 A   
