 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Na23.txt

 Ion = Sodium [11] , Mass = 22.9897 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  55.00 keV   7.425E-01  9.486E-01    1091 A       458 A       332 A   
  60.00 keV   7.896E-01  9.213E-01    1189 A       489 A       359 A   
  65.00 keV   8.271E-01  8.957E-01    1286 A       519 A       384 A   
  70.00 keV   8.577E-01  8.717E-01    1384 A       549 A       410 A   
  80.00 keV   9.064E-01  8.278E-01    1581 A       608 A       460 A   
  90.00 keV   9.470E-01  7.888E-01    1781 A       664 A       508 A   
 100.00 keV   9.844E-01  7.539E-01    1982 A       719 A       556 A   
 110.00 keV   1.021E+00  7.225E-01    2185 A       773 A       602 A   
 120.00 keV   1.057E+00  6.939E-01    2388 A       824 A       649 A   
 130.00 keV   1.093E+00  6.680E-01    2592 A       874 A       694 A   
 140.00 keV   1.128E+00  6.442E-01    2796 A       922 A       739 A   
 150.00 keV   1.164E+00  6.223E-01    3000 A       969 A       784 A   
 160.00 keV   1.200E+00  6.021E-01    3203 A      1014 A       827 A   
 170.00 keV   1.237E+00  5.834E-01    3405 A      1058 A       871 A   
 180.00 keV   1.273E+00  5.660E-01    3606 A      1099 A       913 A   
 200.00 keV   1.346E+00  5.347E-01    4004 A      1179 A       995 A   
 225.00 keV   1.439E+00  5.008E-01    4494 A      1271 A      1094 A   
 250.00 keV   1.532E+00  4.715E-01    4972 A      1355 A      1188 A   
 275.00 keV   1.626E+00  4.460E-01    5438 A      1432 A      1277 A   
 300.00 keV   1.720E+00  4.234E-01    5892 A      1502 A      1361 A   
 325.00 keV   1.814E+00  4.034E-01    6334 A      1567 A      1441 A   
 350.00 keV   1.909E+00  3.854E-01    6763 A      1626 A      1516 A   
 375.00 keV   2.003E+00  3.692E-01    7180 A      1681 A      1587 A   
 400.00 keV   2.097E+00  3.545E-01    7586 A      1731 A      1655 A   
 450.00 keV   2.285E+00  3.288E-01    8363 A      1822 A      1779 A   
 500.00 keV   2.471E+00  3.070E-01    9099 A      1900 A      1890 A   
 550.00 keV   2.654E+00  2.882E-01    9798 A      1968 A      1990 A   
 600.00 keV   2.835E+00  2.719E-01    1.05 um     2028 A      2081 A   
 650.00 keV   3.013E+00  2.576E-01    1.11 um     2080 A      2163 A   
 700.00 keV   3.187E+00  2.448E-01    1.17 um     2127 A      2238 A   
 800.00 keV   3.525E+00  2.232E-01    1.28 um     2209 A      2371 A   
 900.00 keV   3.849E+00  2.055E-01    1.39 um     2275 A      2484 A   
   1.00 MeV   4.158E+00  1.906E-01    1.49 um     2331 A      2581 A   
   1.10 MeV   4.453E+00  1.780E-01    1.58 um     2377 A      2667 A   
   1.20 MeV   4.733E+00  1.671E-01    1.67 um     2418 A      2743 A   
   1.30 MeV   5.000E+00  1.576E-01    1.75 um     2453 A      2810 A   
   1.40 MeV   5.253E+00  1.493E-01    1.83 um     2484 A      2871 A   
