 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\F17_Si.txt

 Ion = Fluorine [9] , Mass = 17.0021 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.706E-01  8.620E-01     249 A       144 A       104 A   
  11.00 keV   3.887E-01  8.564E-01     272 A       154 A       111 A   
  12.00 keV   4.060E-01  8.501E-01     294 A       165 A       119 A   
  13.00 keV   4.226E-01  8.432E-01     316 A       176 A       126 A   
  14.00 keV   4.385E-01  8.360E-01     339 A       186 A       134 A   
  15.00 keV   4.539E-01  8.286E-01     361 A       196 A       141 A   
  16.00 keV   4.688E-01  8.210E-01     383 A       206 A       149 A   
  17.00 keV   4.832E-01  8.134E-01     406 A       216 A       156 A   
  18.00 keV   4.972E-01  8.056E-01     428 A       226 A       163 A   
  20.00 keV   5.241E-01  7.903E-01     473 A       245 A       177 A   
  22.50 keV   5.559E-01  7.714E-01     529 A       269 A       195 A   
  25.00 keV   5.860E-01  7.531E-01     586 A       292 A       212 A   
  27.50 keV   6.146E-01  7.355E-01     643 A       314 A       229 A   
  30.00 keV   6.419E-01  7.186E-01     700 A       336 A       246 A   
  32.50 keV   6.681E-01  7.025E-01     757 A       358 A       263 A   
  35.00 keV   7.257E-01  6.871E-01     813 A       378 A       280 A   
  37.50 keV   8.140E-01  6.724E-01     868 A       397 A       296 A   
  40.00 keV   8.814E-01  6.584E-01     920 A       414 A       313 A   
  45.00 keV   9.706E-01  6.323E-01    1022 A       446 A       343 A   
  50.00 keV   1.021E+00  6.083E-01    1123 A       476 A       372 A   
