 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\6He_Si.txt

 Ion = Helium [2] , Mass = 6.0189 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.883E-01  6.443E-02    1095 A       619 A       504 A   
  11.00 keV   1.975E-01  6.177E-02    1205 A       661 A       542 A   
  12.00 keV   2.063E-01  5.935E-02    1314 A       701 A       580 A   
  13.00 keV   2.149E-01  5.714E-02    1423 A       739 A       616 A   
  14.00 keV   2.230E-01  5.512E-02    1531 A       775 A       651 A   
  15.00 keV   2.308E-01  5.327E-02    1638 A       810 A       685 A   
  16.00 keV   2.382E-01  5.155E-02    1744 A       843 A       718 A   
  17.00 keV   2.453E-01  4.996E-02    1850 A       875 A       750 A   
  18.00 keV   2.523E-01  4.848E-02    1955 A       905 A       782 A   
  20.00 keV   2.659E-01  4.581E-02    2163 A       963 A       842 A   
  22.50 keV   2.827E-01  4.292E-02    2419 A      1029 A       913 A   
  25.00 keV   2.997E-01  4.042E-02    2668 A      1089 A       979 A   
  27.50 keV   3.167E-01  3.824E-02    2911 A      1144 A      1041 A   
  30.00 keV   3.338E-01  3.632E-02    3148 A      1194 A      1099 A   
  32.50 keV   3.507E-01  3.461E-02    3378 A      1240 A      1154 A   
  35.00 keV   3.673E-01  3.307E-02    3603 A      1282 A      1205 A   
  37.50 keV   3.837E-01  3.169E-02    3821 A      1321 A      1254 A   
  40.00 keV   3.997E-01  3.043E-02    4034 A      1358 A      1299 A   
  45.00 keV   4.308E-01  2.823E-02    4444 A      1422 A      1383 A   
