 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\F18_Si.txt

 Ion = Fluorine [9] , Mass = 18.0009 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.602E-01  8.939E-01     249 A       141 A       101 A   
  11.00 keV   3.778E-01  8.885E-01     271 A       151 A       109 A   
  12.00 keV   3.946E-01  8.822E-01     293 A       162 A       116 A   
  13.00 keV   4.107E-01  8.754E-01     316 A       172 A       124 A   
  14.00 keV   4.262E-01  8.683E-01     338 A       182 A       131 A   
  15.00 keV   4.411E-01  8.608E-01     360 A       192 A       138 A   
  16.00 keV   4.556E-01  8.532E-01     382 A       202 A       145 A   
  17.00 keV   4.696E-01  8.454E-01     405 A       212 A       152 A   
  18.00 keV   4.832E-01  8.376E-01     427 A       222 A       159 A   
  20.00 keV   5.094E-01  8.220E-01     472 A       241 A       173 A   
  22.50 keV   5.403E-01  8.028E-01     528 A       264 A       191 A   
  25.00 keV   5.695E-01  7.841E-01     585 A       287 A       208 A   
  27.50 keV   5.973E-01  7.661E-01     641 A       309 A       224 A   
  30.00 keV   6.239E-01  7.488E-01     698 A       331 A       241 A   
  32.50 keV   6.493E-01  7.323E-01     755 A       352 A       258 A   
  35.00 keV   6.738E-01  7.165E-01     812 A       373 A       274 A   
  37.50 keV   7.422E-01  7.014E-01     868 A       392 A       290 A   
  40.00 keV   8.226E-01  6.869E-01     923 A       410 A       306 A   
  45.00 keV   9.324E-01  6.600E-01    1027 A       443 A       338 A   
  50.00 keV   9.965E-01  6.353E-01    1128 A       473 A       367 A   
