 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\F15_Si.txt

 Ion = Fluorine [9] , Mass = 15.018 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   8.204E+00  1.995E-02    4.52 um     2365 A      2975 A   
   8.00 MeV   8.097E+00  1.786E-02    5.04 um     2509 A      3069 A   
   9.00 MeV   7.992E+00  1.619E-02    5.58 um     2647 A      3159 A   
  10.00 MeV   7.893E+00  1.483E-02    6.12 um     2781 A      3247 A   
  11.00 MeV   7.800E+00  1.369E-02    6.66 um     2912 A      3333 A   
  12.00 MeV   7.714E+00  1.272E-02    7.22 um     3039 A      3418 A   
  13.00 MeV   7.633E+00  1.189E-02    7.78 um     3163 A      3501 A   
  14.00 MeV   7.558E+00  1.117E-02    8.34 um     3285 A      3584 A   
  15.00 MeV   7.488E+00  1.054E-02    8.91 um     3405 A      3666 A   
  16.00 MeV   7.421E+00  9.977E-03    9.49 um     3523 A      3747 A   
  17.00 MeV   7.358E+00  9.476E-03   10.07 um     3638 A      3828 A   
  18.00 MeV   7.297E+00  9.026E-03   10.66 um     3752 A      3909 A   
  20.00 MeV   7.182E+00  8.250E-03   11.85 um     4148 A      4069 A   
  22.50 MeV   7.046E+00  7.459E-03   13.36 um     4709 A      4267 A   
  25.00 MeV   6.917E+00  6.815E-03   14.90 um     5227 A      4464 A   
  27.50 MeV   6.792E+00  6.279E-03   16.47 um     5716 A      4661 A   
  30.00 MeV   6.670E+00  5.825E-03   18.06 um     6182 A      4858 A   
  32.50 MeV   6.547E+00  5.436E-03   19.69 um     6632 A      5055 A   
  35.00 MeV   6.386E+00  5.099E-03   21.35 um     7071 A      5253 A   
  37.50 MeV   6.229E+00  4.803E-03   23.06 um     7504 A      5454 A   
  40.00 MeV   6.096E+00  4.542E-03   24.81 um     7934 A      5656 A   
  45.00 MeV   5.839E+00  4.100E-03   28.41 um     9492 A      6068 A   
  50.00 MeV   5.596E+00  3.740E-03   32.18 um     1.09 um     6489 A   
  55.00 MeV   5.366E+00  3.442E-03   36.11 um     1.23 um     6923 A   
  60.00 MeV   5.148E+00  3.190E-03   40.20 um     1.37 um     7369 A   
  65.00 MeV   4.943E+00  2.974E-03   44.47 um     1.50 um     7828 A   
  70.00 MeV   4.749E+00  2.787E-03   48.91 um     1.63 um     8302 A   
  80.00 MeV   4.395E+00  2.479E-03   58.34 um     2.12 um     9295 A   
  90.00 MeV   4.081E+00  2.235E-03   68.50 um     2.57 um     1.04 um  
 100.00 MeV   3.802E+00  2.036E-03   79.44 um     3.01 um     1.15 um  
 110.00 MeV   3.555E+00  1.872E-03   91.15 um     3.45 um     1.27 um  
 120.00 MeV   3.336E+00  1.733E-03  103.65 um     3.88 um     1.40 um  
 130.00 MeV   3.140E+00  1.615E-03  116.96 um     4.33 um     1.53 um  
 140.00 MeV   2.965E+00  1.512E-03  131.07 um     4.78 um     1.67 um  
 150.00 MeV   2.809E+00  1.422E-03  145.99 um     5.24 um     1.82 um  
 160.00 MeV   2.668E+00  1.343E-03  161.72 um     5.70 um     1.98 um  
 170.00 MeV   2.541E+00  1.272E-03  178.26 um     6.18 um     2.15 um  
 180.00 MeV   2.427E+00  1.209E-03  195.60 um     6.66 um     2.32 um  
 200.00 MeV   2.229E+00  1.101E-03  232.64 um     8.50 um     2.69 um  
 225.00 MeV   2.028E+00  9.912E-04  283.29 um    11.15 um     3.20 um  
 250.00 MeV   1.866E+00  9.021E-04  338.65 um    13.66 um     3.76 um  
 275.00 MeV   1.733E+00  8.284E-04  398.53 um    16.11 um     4.35 um  
 300.00 MeV   1.622E+00  7.663E-04  462.74 um    18.54 um     4.99 um  
 325.00 MeV   1.528E+00  7.132E-04  531.11 um    20.95 um     5.67 um  
 350.00 MeV   1.447E+00  6.673E-04  603.51 um    23.37 um     6.39 um  
