 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\B14_Si.txt

 Ion = Boron [5] , Mass = 14.0254 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.466E-01  4.105E-01     400 A       219 A       161 A   
  11.00 keV   3.635E-01  4.025E-01     438 A       235 A       173 A   
  12.00 keV   3.796E-01  3.946E-01     476 A       251 A       186 A   
  13.00 keV   3.951E-01  3.870E-01     513 A       267 A       198 A   
  14.00 keV   4.100E-01  3.797E-01     551 A       282 A       210 A   
  15.00 keV   4.244E-01  3.726E-01     589 A       297 A       222 A   
  16.00 keV   4.384E-01  3.657E-01     627 A       311 A       233 A   
  17.00 keV   4.519E-01  3.591E-01     665 A       326 A       245 A   
  18.00 keV   4.650E-01  3.528E-01     702 A       339 A       256 A   
  20.00 keV   4.901E-01  3.409E-01     778 A       366 A       279 A   
  22.50 keV   5.198E-01  3.271E-01     872 A       399 A       306 A   
  25.00 keV   5.479E-01  3.146E-01     966 A       429 A       333 A   
  27.50 keV   5.747E-01  3.031E-01    1059 A       459 A       359 A   
  30.00 keV   6.139E-01  2.926E-01    1151 A       486 A       384 A   
  32.50 keV   6.555E-01  2.829E-01    1241 A       512 A       409 A   
  35.00 keV   6.949E-01  2.739E-01    1328 A       536 A       432 A   
  37.50 keV   7.317E-01  2.656E-01    1414 A       559 A       455 A   
  40.00 keV   7.656E-01  2.578E-01    1498 A       580 A       477 A   
  45.00 keV   8.256E-01  2.438E-01    1663 A       620 A       518 A   
  50.00 keV   8.770E-01  2.315E-01    1824 A       656 A       557 A   
