 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\N14_Si.txt

 Ion = Nitrogen [7] , Mass = 14.0031 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.448E-01  5.886E-01     295 A       169 A       124 A   
  11.00 keV   4.665E-01  5.812E-01     322 A       182 A       134 A   
  12.00 keV   4.872E-01  5.735E-01     349 A       194 A       143 A   
  13.00 keV   5.071E-01  5.659E-01     375 A       205 A       152 A   
  14.00 keV   5.262E-01  5.582E-01     402 A       217 A       160 A   
  15.00 keV   5.447E-01  5.506E-01     428 A       228 A       169 A   
  16.00 keV   5.626E-01  5.431E-01     455 A       239 A       178 A   
  17.00 keV   5.799E-01  5.358E-01     482 A       250 A       186 A   
  18.00 keV   5.967E-01  5.286E-01     508 A       261 A       194 A   
  20.00 keV   6.290E-01  5.147E-01     561 A       282 A       211 A   
  22.50 keV   6.671E-01  4.983E-01     627 A       307 A       231 A   
  25.00 keV   7.032E-01  4.829E-01     693 A       330 A       251 A   
  27.50 keV   7.375E-01  4.684E-01     758 A       353 A       270 A   
  30.00 keV   7.947E-01  4.549E-01     823 A       375 A       289 A   
  32.50 keV   8.520E-01  4.423E-01     886 A       395 A       307 A   
  35.00 keV   9.027E-01  4.304E-01     947 A       414 A       325 A   
  37.50 keV   9.473E-01  4.193E-01    1008 A       432 A       342 A   
  40.00 keV   9.865E-01  4.088E-01    1067 A       449 A       358 A   
  45.00 keV   1.052E+00  3.895E-01    1185 A       482 A       389 A   
  50.00 keV   1.104E+00  3.723E-01    1302 A       512 A       419 A   
