 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\N10_Si.txt

 Ion = Nitrogen [7] , Mass = 10.0417 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.252E-01  4.598E-01     293 A       182 A       137 A   
  11.00 keV   5.508E-01  4.532E-01     320 A       195 A       147 A   
  12.00 keV   5.753E-01  4.464E-01     346 A       207 A       156 A   
  13.00 keV   5.988E-01  4.398E-01     372 A       219 A       166 A   
  14.00 keV   6.214E-01  4.332E-01     398 A       231 A       175 A   
  15.00 keV   6.432E-01  4.267E-01     424 A       242 A       184 A   
  16.00 keV   6.643E-01  4.203E-01     450 A       253 A       193 A   
  17.00 keV   6.848E-01  4.142E-01     476 A       264 A       202 A   
  18.00 keV   7.046E-01  4.081E-01     502 A       275 A       211 A   
  20.00 keV   7.428E-01  3.966E-01     553 A       295 A       228 A   
  22.50 keV   8.270E-01  3.830E-01     616 A       319 A       248 A   
  25.00 keV   9.001E-01  3.704E-01     676 A       340 A       268 A   
  27.50 keV   9.612E-01  3.587E-01     735 A       360 A       286 A   
  30.00 keV   1.012E+00  3.478E-01     793 A       379 A       304 A   
  32.50 keV   1.055E+00  3.376E-01     850 A       397 A       321 A   
  35.00 keV   1.092E+00  3.281E-01     907 A       414 A       337 A   
  37.50 keV   1.124E+00  3.192E-01     963 A       430 A       352 A   
  40.00 keV   1.153E+00  3.108E-01    1019 A       446 A       368 A   
  45.00 keV   1.202E+00  2.955E-01    1131 A       476 A       397 A   
  50.00 keV   1.243E+00  2.819E-01    1243 A       505 A       424 A   
