 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\N11_Si.txt

 Ion = Nitrogen [7] , Mass = 11.0261 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   5.822E+00  9.438E-03    5.65 um     2451 A      2966 A   
   8.00 MeV   5.748E+00  8.437E-03    6.40 um     2704 A      3101 A   
   9.00 MeV   5.673E+00  7.640E-03    7.15 um     2940 A      3233 A   
  10.00 MeV   5.596E+00  6.989E-03    7.91 um     3164 A      3362 A   
  11.00 MeV   5.518E+00  6.446E-03    8.68 um     3379 A      3489 A   
  12.00 MeV   5.440E+00  5.986E-03    9.47 um     3586 A      3615 A   
  13.00 MeV   5.361E+00  5.592E-03   10.26 um     3787 A      3740 A   
  14.00 MeV   5.283E+00  5.249E-03   11.07 um     3984 A      3864 A   
  15.00 MeV   5.204E+00  4.948E-03   11.89 um     4177 A      3988 A   
  16.00 MeV   5.127E+00  4.682E-03   12.72 um     4366 A      4112 A   
  17.00 MeV   5.050E+00  4.445E-03   13.57 um     4554 A      4236 A   
  18.00 MeV   4.974E+00  4.232E-03   14.43 um     4739 A      4360 A   
  20.00 MeV   4.825E+00  3.865E-03   16.18 um     5398 A      4610 A   
  22.50 MeV   4.648E+00  3.491E-03   18.46 um     6336 A      4925 A   
  25.00 MeV   4.457E+00  3.187E-03   20.82 um     7216 A      5247 A   
  27.50 MeV   4.254E+00  2.934E-03   23.29 um     8069 A      5576 A   
  30.00 MeV   4.084E+00  2.721E-03   25.87 um     8907 A      5916 A   
  32.50 MeV   3.925E+00  2.538E-03   28.56 um     9735 A      6265 A   
  35.00 MeV   3.776E+00  2.379E-03   31.35 um     1.06 um     6624 A   
  37.50 MeV   3.637E+00  2.240E-03   34.26 um     1.14 um     6995 A   
  40.00 MeV   3.506E+00  2.117E-03   37.27 um     1.22 um     7376 A   
