 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\18Ne_Si.txt

 Ion = Neon [10] , Mass = 18.0057 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.313E-01  9.872E-01     233 A       135 A        97 A   
  11.00 keV   3.474E-01  9.831E-01     254 A       146 A       104 A   
  12.00 keV   3.629E-01  9.781E-01     275 A       156 A       111 A   
  13.00 keV   3.777E-01  9.722E-01     296 A       166 A       118 A   
  14.00 keV   3.919E-01  9.658E-01     316 A       176 A       125 A   
  15.00 keV   4.057E-01  9.590E-01     337 A       185 A       132 A   
  16.00 keV   4.190E-01  9.519E-01     358 A       195 A       139 A   
  17.00 keV   4.319E-01  9.446E-01     379 A       205 A       146 A   
  18.00 keV   4.444E-01  9.371E-01     400 A       214 A       153 A   
  20.00 keV   4.685E-01  9.219E-01     442 A       233 A       166 A   
  22.50 keV   4.969E-01  9.029E-01     495 A       256 A       183 A   
  25.00 keV   5.238E-01  8.841E-01     548 A       278 A       200 A   
  27.50 keV   5.493E-01  8.657E-01     601 A       300 A       216 A   
  30.00 keV   5.737E-01  8.479E-01     655 A       322 A       232 A   
  32.50 keV   5.972E-01  8.308E-01     709 A       343 A       248 A   
  35.00 keV   6.197E-01  8.143E-01     763 A       364 A       264 A   
  37.50 keV   6.750E-01  7.984E-01     816 A       384 A       280 A   
  40.00 keV   7.448E-01  7.831E-01     869 A       403 A       296 A   
  45.00 keV   8.569E-01  7.544E-01     969 A       437 A       327 A   
  50.00 keV   9.399E-01  7.280E-01    1067 A       468 A       357 A   
