 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Be6_Si.txt

 Ion = Beryllium [4] , Mass = 6.0197 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.239E-01  1.592E-01     531 A       349 A       272 A   
  11.00 keV   3.398E-01  1.547E-01     583 A       374 A       293 A   
  12.00 keV   3.549E-01  1.505E-01     634 A       397 A       313 A   
  13.00 keV   3.741E-01  1.465E-01     685 A       420 A       332 A   
  14.00 keV   3.920E-01  1.427E-01     735 A       441 A       351 A   
  15.00 keV   4.085E-01  1.392E-01     785 A       462 A       370 A   
  16.00 keV   4.239E-01  1.359E-01     835 A       482 A       387 A   
  17.00 keV   4.384E-01  1.327E-01     884 A       501 A       405 A   
  18.00 keV   4.522E-01  1.297E-01     933 A       519 A       422 A   
  20.00 keV   4.783E-01  1.242E-01    1030 A       554 A       455 A   
  22.50 keV   5.093E-01  1.180E-01    1150 A       595 A       493 A   
  25.00 keV   5.391E-01  1.125E-01    1269 A       633 A       530 A   
  27.50 keV   5.681E-01  1.076E-01    1385 A       668 A       565 A   
  30.00 keV   5.961E-01  1.031E-01    1499 A       701 A       598 A   
  32.50 keV   6.230E-01  9.908E-02    1612 A       731 A       630 A   
  35.00 keV   6.488E-01  9.540E-02    1722 A       760 A       660 A   
  37.50 keV   6.735E-01  9.203E-02    1831 A       787 A       689 A   
  40.00 keV   6.973E-01  8.893E-02    1939 A       813 A       717 A   
  45.00 keV   7.421E-01  8.340E-02    2149 A       860 A       769 A   
