 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\15O_Si.txt

 Ion = Oxygen [8] , Mass = 15.0031 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.336E-01  7.071E-01     268 A       155 A       113 A   
  11.00 keV   4.548E-01  7.003E-01     292 A       166 A       121 A   
  12.00 keV   4.750E-01  6.931E-01     316 A       178 A       130 A   
  13.00 keV   4.944E-01  6.857E-01     340 A       189 A       138 A   
  14.00 keV   5.130E-01  6.781E-01     364 A       199 A       146 A   
  15.00 keV   5.310E-01  6.705E-01     388 A       210 A       154 A   
  16.00 keV   5.485E-01  6.629E-01     412 A       220 A       162 A   
  17.00 keV   5.653E-01  6.553E-01     435 A       231 A       169 A   
  18.00 keV   5.817E-01  6.478E-01     459 A       241 A       177 A   
  20.00 keV   6.132E-01  6.330E-01     507 A       260 A       192 A   
  22.50 keV   6.504E-01  6.153E-01     567 A       284 A       211 A   
  25.00 keV   6.856E-01  5.985E-01     627 A       307 A       229 A   
  27.50 keV   7.190E-01  5.825E-01     687 A       329 A       247 A   
  30.00 keV   7.510E-01  5.674E-01     746 A       351 A       264 A   
  32.50 keV   8.023E-01  5.531E-01     805 A       371 A       282 A   
  35.00 keV   8.467E-01  5.396E-01     863 A       390 A       298 A   
  37.50 keV   8.852E-01  5.268E-01     921 A       409 A       315 A   
  40.00 keV   9.188E-01  5.147E-01     977 A       427 A       331 A   
  45.00 keV   9.750E-01  4.923E-01    1091 A       461 A       362 A   
  50.00 keV   1.021E+00  4.720E-01    1203 A       494 A       392 A   
