 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Na21_Si.txt

 Ion = Sodium [11] , Mass = 20.9976 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.031E-01  1.181E+00     217 A       121 A        87 A   
  11.00 keV   3.179E-01  1.179E+00     236 A       130 A        93 A   
  12.00 keV   3.321E-01  1.176E+00     255 A       139 A        99 A   
  13.00 keV   3.456E-01  1.172E+00     274 A       148 A       105 A   
  14.00 keV   3.587E-01  1.167E+00     293 A       157 A       112 A   
  15.00 keV   3.713E-01  1.161E+00     311 A       166 A       118 A   
  16.00 keV   3.834E-01  1.155E+00     330 A       174 A       124 A   
  17.00 keV   3.953E-01  1.148E+00     349 A       183 A       130 A   
  18.00 keV   4.067E-01  1.141E+00     368 A       192 A       136 A   
  20.00 keV   4.287E-01  1.127E+00     407 A       208 A       147 A   
  22.50 keV   4.547E-01  1.108E+00     455 A       229 A       162 A   
  25.00 keV   4.793E-01  1.089E+00     503 A       250 A       177 A   
  27.50 keV   5.027E-01  1.070E+00     552 A       270 A       191 A   
  30.00 keV   5.251E-01  1.051E+00     601 A       290 A       205 A   
  32.50 keV   5.465E-01  1.032E+00     650 A       309 A       220 A   
  35.00 keV   5.671E-01  1.014E+00     700 A       329 A       234 A   
  37.50 keV   5.870E-01  9.969E-01     749 A       348 A       248 A   
  40.00 keV   6.063E-01  9.800E-01     800 A       367 A       262 A   
  45.00 keV   6.720E-01  9.478E-01     899 A       403 A       290 A   
  50.00 keV   7.398E-01  9.178E-01     998 A       437 A       318 A   
